,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,mean_rent
0,瑅香广场,3,4.0,,3.55,18.0,0.0,3.0,7.0,24.0,0.0,5,2.8
1,银历大厦,3,,,3.04,39.0,4.0,11.0,10.0,52.0,2.0,7,7.74
2,昇PARK创意园,3,2.0,5.0,2.54,1.0,0.0,2.0,0.0,13.0,0.0,4,3.2
3,良友大厦,3,21.0,28.0,4.56,55.0,8.0,9.0,1.0,23.0,2.0,7,
4,龙峰大厦,3,14.0,20.0,5.27,60.0,14.0,0.0,8.0,34.0,1.0,6,4.0
5,张江国创中心,3,1.0,4.0,4.06,1.0,0.0,1.0,1.0,0.0,0.0,4,
6,中铁中环时代广场,3,6.0,16.0,3.24,7.0,1.0,0.0,4.0,10.0,0.0,5,4.2
7,上海中电大楼,3,21.0,18.0,4.06,67.0,3.0,12.0,5.0,27.0,1.0,7,7.67
8,御上海青橙,3,1.0,25.0,1.57,10.0,0.0,0.0,2.0,0.0,0.0,3,4.48
9,中国煤炭大厦,3,17.0,28.0,5.07,46.0,2.0,1.0,1.0,28.0,2.0,7,
10,徐汇商务大厦,2,9.0,21.0,3.55,53.0,3.0,4.0,7.0,23.0,3.0,7,6.3
11,金牛大厦,2,21.0,12.0,4.26,17.0,0.0,0.0,5.0,14.0,1.0,5,2.85
12,寰启商务园,3,,,1.62,3.0,0.0,0.0,0.0,4.0,0.0,3,2.6
13,时亦创新园,3,3.0,4.0,1.32,12.0,3.0,1.0,1.0,14.0,1.0,7,5.0
14,东海商业中心二期,3,21.0,26.0,4.56,230.0,11.0,17.0,18.0,71.0,1.0,7,
15,信达大厦,2,20.0,25.0,4.06,72.0,25.0,0.0,4.0,35.0,1.0,6,10.5
16,莱茵•虹景中心,3,4.0,10.0,4.06,17.0,3.0,3.0,1.0,18.0,0.0,6,
17,立明大厦,2,10.0,15.0,3.55,3.0,1.0,0.0,0.0,0.0,0.0,3,3.73
18,怡富商务广场,3,11.0,26.0,3.35,32.0,3.0,6.0,8.0,23.0,0.0,6,5.9
19,时尚谷创意园,3,,,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4
20,伯爵居,3,,20.0,5.58,164.0,9.0,0.0,8.0,30.0,1.0,6,5.5
21,碧云国际,2,,30.0,2.03,24.0,0.0,1.0,1.0,9.0,1.0,6,6.5
22,绿地汇方广场,3,1.0,6.0,4.36,6.0,0.0,2.0,6.0,15.0,1.0,6,5.42
23,东渡国际嘉庭广场,3,1.0,18.0,4.06,6.0,1.0,2.0,5.0,3.0,0.0,6,
24,东方众鑫大厦,3,15.0,31.0,6.59,116.0,22.0,13.0,10.0,34.0,3.0,7,
25,中国人寿保险大厦,3,,15.0,6.59,32.0,0.0,18.0,11.0,34.0,0.0,5,3.09
26,中华门大厦,2,18.0,24.0,3.04,28.0,9.0,4.0,4.0,16.0,1.0,7,
27,越界世博园,3,2.0,6.0,6.49,74.0,14.0,15.0,16.0,21.0,2.0,7,3.48
28,鸿海大厦,3,,27.0,3.93,11.0,0.0,2.0,7.0,13.0,0.0,5,
29,虹桥协信中心,3,,4.0,4.06,23.0,2.0,0.0,0.0,4.0,0.0,4,
30,东华时尚创意园,3,7.0,15.0,4.06,38.0,3.0,5.0,4.0,20.0,1.0,7,
31,铜仁88,3,2.0,10.0,5.41,167.0,4.0,19.0,20.0,0.0,2.0,6,
32,春申创意园,3,,5.0,2.23,0.0,1.0,1.0,0.0,7.0,0.0,4,4.58
33,上海纺运物流商务中心,2,,,3.45,12.0,0.0,1.0,2.0,14.0,0.0,5,2.0
