,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
0,瑅香广场,4.0,,3.55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0,3.0,7.0,24.0,0.0,25
1,银历大厦,,,3.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.0,4.0,11.0,10.0,52.0,2.0,27
2,昇PARK创意园,2.0,5.0,2.54,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,0.0,13.0,0.0,24
3,良友大厦,21.0,28.0,4.56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.0,8.0,9.0,1.0,23.0,2.0,27
4,龙峰大厦,14.0,20.0,5.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60.0,14.0,0.0,8.0,34.0,1.0,26
5,张江国创中心,1.0,4.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,24
6,中铁中环时代广场,6.0,16.0,3.24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,1.0,0.0,4.0,10.0,0.0,25
7,上海中电大楼,21.0,18.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67.0,3.0,12.0,5.0,27.0,1.0,27
8,御上海青橙,1.0,25.0,1.57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,0.0,0.0,2.0,0.0,0.0,23
9,中国煤炭大厦,17.0,28.0,5.07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.0,2.0,1.0,1.0,28.0,2.0,27
10,徐汇商务大厦,9.0,21.0,3.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.0,3.0,4.0,7.0,23.0,3.0,27
11,金牛大厦,21.0,12.0,4.26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0,0.0,0.0,5.0,14.0,1.0,25
12,寰启商务园,,,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,4.0,0.0,23
13,时亦创新园,3.0,4.0,1.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0,3.0,1.0,1.0,14.0,1.0,27
14,东海商业中心二期,21.0,26.0,4.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230.0,11.0,17.0,18.0,71.0,1.0,27
15,信达大厦,20.0,25.0,4.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72.0,25.0,0.0,4.0,35.0,1.0,26
16,莱茵•虹景中心,4.0,10.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.0,3.0,3.0,1.0,18.0,0.0,26
17,立明大厦,10.0,15.0,3.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,23
18,怡富商务广场,11.0,26.0,3.35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.0,3.0,6.0,8.0,23.0,0.0,26
19,时尚谷创意园,,,0.91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21
20,伯爵居,,20.0,5.58,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,9.0,0.0,8.0,30.0,1.0,26
21,碧云国际,,30.0,2.03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0,0.0,1.0,1.0,9.0,1.0,26
22,绿地汇方广场,1.0,6.0,4.36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2.0,6.0,15.0,1.0,26
23,东渡国际嘉庭广场,1.0,18.0,4.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,2.0,5.0,3.0,0.0,26
24,东方众鑫大厦,15.0,31.0,6.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116.0,22.0,13.0,10.0,34.0,3.0,27
25,中国人寿保险大厦,,15.0,6.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.0,0.0,18.0,11.0,34.0,0.0,25
26,中华门大厦,18.0,24.0,3.04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,9.0,4.0,4.0,16.0,1.0,27
