,name,hotel,hospital,mall,park1500,store,underground,rent
0,瑅香广场,18.0,0.0,3.0,7.0,24.0,0.0,3.55
1,银历大厦,39.0,4.0,11.0,10.0,52.0,2.0,3.04
2,昇PARK创意园,1.0,0.0,2.0,0.0,13.0,0.0,2.54
3,良友大厦,55.0,8.0,9.0,1.0,23.0,2.0,4.56
4,龙峰大厦,60.0,14.0,0.0,8.0,34.0,1.0,5.27
5,张江国创中心,1.0,0.0,1.0,1.0,0.0,0.0,4.06
6,中铁中环时代广场,7.0,1.0,0.0,4.0,10.0,0.0,3.24
7,上海中电大楼,67.0,3.0,12.0,5.0,27.0,1.0,4.06
8,御上海青橙,10.0,0.0,0.0,2.0,0.0,0.0,1.57
9,中国煤炭大厦,46.0,2.0,1.0,1.0,28.0,2.0,5.07
10,徐汇商务大厦,53.0,3.0,4.0,7.0,23.0,3.0,3.55
11,金牛大厦,17.0,0.0,0.0,5.0,14.0,1.0,4.26
12,寰启商务园,3.0,0.0,0.0,0.0,4.0,0.0,1.62
13,时亦创新园,12.0,3.0,1.0,1.0,14.0,1.0,1.32
14,东海商业中心二期,230.0,11.0,17.0,18.0,71.0,1.0,4.56
15,信达大厦,72.0,25.0,0.0,4.0,35.0,1.0,4.06
16,莱茵•虹景中心,17.0,3.0,3.0,1.0,18.0,0.0,4.06
17,立明大厦,3.0,1.0,0.0,0.0,0.0,0.0,3.55
18,怡富商务广场,32.0,3.0,6.0,8.0,23.0,0.0,3.35
19,时尚谷创意园,0.0,0.0,0.0,0.0,0.0,0.0,0.91
20,伯爵居,164.0,9.0,0.0,8.0,30.0,1.0,5.58
21,碧云国际,24.0,0.0,1.0,1.0,9.0,1.0,2.03
22,绿地汇方广场,6.0,0.0,2.0,6.0,15.0,1.0,4.36
23,东渡国际嘉庭广场,6.0,1.0,2.0,5.0,3.0,0.0,4.06
24,东方众鑫大厦,116.0,22.0,13.0,10.0,34.0,3.0,6.59
25,中国人寿保险大厦,32.0,0.0,18.0,11.0,34.0,0.0,6.59
26,中华门大厦,28.0,9.0,4.0,4.0,16.0,1.0,3.04
27,越界世博园,74.0,14.0,15.0,16.0,21.0,2.0,6.49
28,鸿海大厦,11.0,0.0,2.0,7.0,13.0,0.0,3.93
29,虹桥协信中心,23.0,2.0,0.0,0.0,4.0,0.0,4.06
30,东华时尚创意园,38.0,3.0,5.0,4.0,20.0,1.0,4.06
31,铜仁88,167.0,4.0,19.0,20.0,0.0,2.0,5.41
32,春申创意园,0.0,1.0,1.0,0.0,7.0,0.0,2.23
33,上海纺运物流商务中心,12.0,0.0,1.0,2.0,14.0,0.0,3.45
34,武宁881号创意园,100.0,6.0,15.0,6.0,36.0,1.0,5.07
35,宏基/创邑河,54.0,13.0,0.0,0.0,36.0,1.0,4.06
36,莘庄产学研基地,24.0,8.0,9.0,6.0,0.0,0.0,4.24
37,法华门大厦,70.0,0.0,3.0,0.0,23.0,0.0,2.64
38,微格创意园,3.0,0.0,0.0,0.0,2.0,0.0,1.01
39,全华信息大楼,1.0,0.0,0.0,1.0,5.0,0.0,5.58
40,智慧园,9.0,0.0,0.0,1.0,7.0,0.0,3.04
41,德必WE静安文化创意园,100.0,6.0,10.0,6.0,36.0,1.0,7.1
42,中环滨江大厦,12.0,3.0,0.0,2.0,7.0,0.0,1.47
43,光大会展中心D座,35.0,8.0,3.0,8.0,22.0,0.0,3.04
44,兰村大厦,32.0,6.0,1.0,2.0,13.0,1.0,2.84
45,冉东商务中心,3.0,1.0,3.0,1.0,5.0,0.0,3.04
46,城投控股大厦,106.0,4.0,6.0,0.0,58.0,0.0,6.08
47,星光耀广场,10.0,1.0,2.0,6.0,16.0,0.0,3.55
48,慧创国际,10.0,0.0,0.0,3.0,8.0,0.0,2.2
49,鑫桥创意园,3.0,0.0,0.0,1.0,1.0,0.0,4.06
50,静安创展中心,76.0,4.0,2.0,5.0,38.0,2.0,3.55
51,泰德科技园,3.0,1.0,0.0,0.0,13.0,1.0,2.33
52,力宝广场,56.0,8.0,17.0,16.0,20.0,3.0,7.91
53,复旦创业中心大厦二期,31.0,4.0,9.0,5.0,21.0,2.0,2.94
54,上海科技京城大厦西座,109.0,2.0,12.0,6.0,56.0,0.0,3.04
55,开开广场,59.0,4.0,7.0,2.0,27.0,2.0,3.04
56,汇鑫国际大厦,58.0,5.0,3.0,7.0,19.0,2.0,4.56
57,佳预信息科技大厦,12.0,0.0,0.0,1.0,5.0,0.0,3.04
