,buildingN,hotel_num,hotel
0,金融街静安中心,43.0,"[上海吉臣酒店@(121.436456,31.234122), 美豪酒店@(121.434501,31.2382), 如家快捷酒店(中山公园江苏路地铁站店)@(121.433632,31.230254), 汉庭酒店(静安寺新店)@(121.441275,31.232381), 上海艾尚精品酒店静安店@(121.434583,31.232224), 上海爱の缘主题连锁酒店(静安店)@(121.434434,31.237974), 上海为波宾馆(中山公园店)@(121.433517,31.2294), 万航主题酒店@(121.437353,31.234195), 达克斯娜酒店@(121.43255,31.235915), 漫颐酒店@(121.434389,31.233883), 恒佳宾馆@(121.433723,31.230568), 假日之星酒店(上海长宁店)@(121.434124,31.231634), 精赢宾馆@(121.432854,31.233011), 居家公寓酒店@(121.433795,31.230388), 静航公寓公租房@(121.435651,31.232913), 城家酒店公寓@(121.433699,31.230499), 宏缘白领公寓@(121.43252,31.237064), 上海ComeHome青年家园宾馆@(121.434404,31.234366), 富邦安泰宾馆@(121.433955,31.229989), 上海爱方白领公寓@(121.438268,31.235746), 佳欣旅馆(江苏北路)@(121.433828,31.230509), 品尚假日酒店@(121.433099,31.232152), 上海西第科Cityhome普通公寓武定路分店@(121.442338,31.23342), 上海长宁区民防招待所@(121.43321,31.229243), 上海舒心雅致的公寓@(121.435098,31.235707), Yostel1310青年旅舍（曹家渡店）@(121.432535,31.231933), 上海西第科Cityhome普通公寓万航渡后路分店@(121.432223,31.235832), 上海喵客公寓万航渡路分店@(121.435859,31.233645), 上海居源城市酒店式公寓武宁南路分店@(121.4408,31.234703), 上海宜家公寓鑫康苑@(121.436478,31.234864), 小猪短租(曹家渡短租民宅房屋整租)@(121.435631,31.232918), 上海Belink阳光之家复式@(121.438431,31.229783), 上海缘之梦旅馆@(121.438344,31.235608), 春眠旅馆@(121.433828,31.230466), 上海中国温馨的家普通公寓万航渡路623弄分店@(121.439916,31.233207), 上海精装温馨公寓长宁路分店@(121.433605,31.231897), 上海LOFT28泰式公寓昌平路分店@(121.442158,31.23742), 上海中国温馨的家普通公寓长宁路分店@(121.434769,31.232818), 上海俯瞰弄堂小筑公寓@(121.434582,31.230947), 上海宜家城市酒店式公寓万航渡路店@(121.435859,31.233645), 上海小鹿乱撞普通公寓万航渡路分店@(121.435155,31.233087), 上海百分屋卡通小屋临地铁@(121.432016,31.233175), 上海舒心小屋俱乐部长宁支路分店@(121.432091,31.233311)]"
1,万通中心,17.0,"[上海舜邦精品酒店@(121.331811,31.227829), 上海翠廷酒店(虹桥枢纽火车站店)@(121.33716,31.232803), 易佰酒店上海虹桥枢纽店@(121.339731,31.229393), 上海宁泰连锁酒店虹桥店@(121.333108,31.23276), 格林联盟上海虹桥枢纽七莘路酒店@(121.339611,31.229452), 上海心醉之夜精品酒店@(121.331646,31.227873), 上海葡萄酒品鉴中心@(121.332302,31.228027), 金广快捷酒店虹桥枢纽七莘路店@(121.334356,31.223912), 东美旅馆@(121.340387,31.228885), 颖上商会酒店@(121.333374,31.23255), 上海红梅旅社@(121.332166,31.228973), 灿发公寓@(121.335014,31.223973), 宿适轻奢酒店（上海虹桥机场店）@(121.332614,31.228048), 上海农业科学院华苑宾馆@(121.331699,31.22805), 易佰酒店(上海虹许广场国家会展中心店)@(121.339729,31.229397), 连升宾馆@(121.339295,31.229248), 上海温馨之家公寓北翟路分店@(121.339374,31.231791)]"
2,上海中心,27.0,"[上海金茂君悦大酒店@(121.512069,31.240759), 浦东丽思卡尔顿酒店@(121.507818,31.242265), 上海浦东四季酒店@(121.5167,31.239852), 上海柏悦酒店@(121.513872,31.239254), 中银大厦@(121.509965,31.244193), 黔香阁(浦东店)@(121.51801,31.235296), 上海浦东宾家国际青年旅舍@(121.517789,31.237143), 四季汇@(121.516301,31.239885), 上海鹏利辉盛阁国际公寓@(121.510641,31.237487), 国金汇@(121.50907,31.241688), 上海中心-J酒店@(121.512858,31.23968), 上海东方阁服务式公寓@(121.516891,31.236658), 上海东方阁涉外公寓@(121.517339,31.236483), 上海新帝豪酒店式服务公寓@(121.511796,31.237733), 上海中粮海景壹号酒店公寓@(121.509957,31.23768), 上海帕克尔国际公寓@(121.515132,31.23524), 上海东方明珠八佰伴公寓@(121.517459,31.235257), 上海精装温馨公寓人民路隧道分店@(121.517367,31.236456), 上海金茂君悦大酒店-烧烤@(121.51243,31.240666), 源涞国际服务式公寓(陆家嘴仁恒滨江园店)@(121.515555,31.235389), 上海陆家嘴商圈豪华公寓@(121.515075,31.235413), 上海优帕克服务公寓（浦东仁恒滨江花园）@(121.515396,31.235647), 上海新帝豪涉外公寓@(121.51136,31.237403), 优帕克商旅公寓(上海盛大金磐店)@(121.513304,31.237855), 上海掌柜滴和小二哥公寓东昌小区店@(121.518102,31.23874), 上海陆家嘴舒适普通公寓@(121.516883,31.238661), 上海myfriend普通公寓人民路隧道分店@(121.515075,31.235413)]"
3,虹桥万科中心,17.0,"[上海舜邦精品酒店@(121.331811,31.227829), 上海翠廷酒店(虹桥枢纽火车站店)@(121.33716,31.232803), 易佰酒店上海虹桥枢纽店@(121.339731,31.229393), 上海宁泰连锁酒店虹桥店@(121.333108,31.23276), 格林联盟上海虹桥枢纽七莘路酒店@(121.339611,31.229452), 上海心醉之夜精品酒店@(121.331646,31.227873), 上海葡萄酒品鉴中心@(121.332302,31.228027), 金广快捷酒店虹桥枢纽七莘路店@(121.334356,31.223912), 东美旅馆@(121.340387,31.228885), 颖上商会酒店@(121.333374,31.23255), 上海红梅旅社@(121.332166,31.228973), 灿发公寓@(121.335014,31.223973), 宿适轻奢酒店（上海虹桥机场店）@(121.332614,31.228048), 上海农业科学院华苑宾馆@(121.331699,31.22805), 易佰酒店(上海虹许广场国家会展中心店)@(121.339729,31.229397), 连升宾馆@(121.339295,31.229248), 上海温馨之家公寓北翟路分店@(121.339374,31.231791)]"
4,华鑫天地,6.0,"[桔子水晶酒店(上海漕河泾宜山路店)@(121.413106,31.178135), 微特酒店@(121.418248,31.172685), 锦林旅馆@(121.419051,31.170719), RAMADA PLAZA@(121.413061,31.170178), 上海蓝海短租公寓全州路分店@(121.416987,31.172793), 上海罗姐的小窝公寓虹漕路分店@(121.417538,31.171813)]"
5,新宝中心,10.0,"[晶照大酒店@(121.437102,31.373949), HC青年国际社区@(121.43685,31.374827), 强廷公寓@(121.433538,31.37821), 北耀公寓@(121.442217,31.375596), 上海海上风酒店连锁(东家瀛店)@(121.436957,31.374851), 上海春悦旅馆@(121.43998,31.378767), 上海荣域轰趴别墅@(121.437482,31.374585), 上海沐语之家公寓@(121.432052,31.372586), 上海沐语之家公寓蕰川路分店@(121.435585,31.373766), 黄山河畔假日@(121.43848,31.370587)]"
6,苏河1号,43.0,"[全季酒店(上海火车站店)@(121.458261,31.251156), 长安大厦@(121.458657,31.251159), 上海广场长城假日酒店@(121.461104,31.25276), 维也纳国际酒店(上海火车站龙门店)@(121.458619,31.255884), 零点依精致酒店(火车站店)@(121.457968,31.254557), 莫泰168酒店(火车站店)@(121.45846,31.252637), 吉泰连锁酒店火车站南广场店@(121.457193,31.253126), 安恒卓悦·商务酒店@(121.457739,31.254972), 上海邮电商务宾馆@(121.459165,31.254753), 江南邨@(121.458157,31.251529), 上海屏翰招待所@(121.458318,31.251019), 星墅99连锁酒店(上海火车站店)@(121.461934,31.252759), 城家酒店公寓@(121.457638,31.253782), 邮电大厦大酒店餐厅@(121.45939,31.254099), 上海AMY国际青年旅舍@(121.462901,31.250986), 上海云光招待所@(121.458318,31.251019), 上海YM青年旅社（火车站店）@(121.462862,31.251641), 临泰之星酒店@(121.458002,31.256641), 上海海米国际青年旅舍火车站店@(121.463008,31.250892), 依零壹精致酒店@(121.457609,31.255195), 上海久升概念酒店@(121.458069,31.252231), 上海easycomer青年旅舍@(121.463018,31.250994), 弘宾旅馆@(121.457844,31.255123), 上海home in国际青年公寓@(121.462902,31.250985), 上海youthshome火车站店青年旅舍@(121.463204,31.251376), 上海艺术·家住宿@(121.456446,31.254039), 上海假日旅馆(长安路店)@(121.457716,31.251076), 中国工商银行上海市分行招待所@(121.459022,31.251785), 长安大厦公寓@(121.459206,31.251102), 上海美高国际酒店式公寓@(121.462907,31.250984), 金唐荟@(121.463212,31.252802), 上海市旅馆服务站@(121.460168,31.255378), 香缘酒店闸北区爱华招待所@(121.458782,31.251513), 上海麦田青年旅舍@(121.463049,31.251023), 上海浦西洲际酒店-俱乐部@(121.459131,31.249999), 东风汽车公司驻沪招待所@(121.458793,31.251521), 云南省人民政府驻上海办事处招待所@(121.458318,31.251019), 吉林省人民政府驻上海办事处招待所@(121.458318,31.251019), 天津市人民政府驻上海办事处客房部@(121.458788,31.251519), 上海香缘村大酒店@(121.458082,31.250862), 中钢集团上海分公司招待所@(121.458778,31.251509), 上海白晶公寓@(121.46174,31.251806), 上海精装温馨公寓天目西路店@(121.456773,31.251986)]"
7,绿地科创大厦,29.0,"[上海绿地普陀智选假日酒店@(121.431829,31.239931), 汉庭酒店(上海华师大店)@(121.425574,31.240659), 君满堂宾馆@(121.427239,31.240579), 如家商旅酒店(上海环球港曹杨路地铁站店)@(121.427052,31.240926), 缘森主题酒店@(121.427918,31.23836), 上海zhotels智尚酒店(曹杨路地铁站店)@(121.427457,31.241652), 上海奥克伍德华庭酒店公寓@(121.429139,31.244514), 迈家(上海)酒店(曹杨路店)@(121.424266,31.243541), 海友酒店(上海曹杨路店)@(121.424121,31.243728), 上海十年青年旅社@(121.427472,31.239222), 上海添福旅馆@(121.431516,31.24222), Oakwood@(121.428988,31.244396), 上海汽车公寓青年旅舍曹杨路地铁站店@(121.42375,31.243238), 星诺旅馆@(121.424268,31.236836), 上海燕宁苑客栈@(121.431939,31.241509), 上海火星私人影吧主题酒店@(121.424601,31.244163), 南光旅馆@(121.422948,31.240306), 上海先达公寓酒店@(121.429059,31.244448), 润星公寓@(121.424613,31.241722), 奥克伍德华庭服务式公寓-酒吧@(121.42906,31.244448), 上海心安即是家酒店式公寓上海华师大店@(121.424208,31.239374), 上海L341113近环球港粉色异想世界直达迪士尼酒店式公寓@(121.423747,31.24048), 链家旅居展厅(绿地和创店)@(121.426601,31.243143), 上海宜家城市酒店式公寓宁夏路分店@(121.424297,31.23943), 品申大酒店@(121.424693,31.243036), 上海喵客公寓宁夏路分店@(121.423974,31.239414), 上海佳佳阳光酒店式短租公寓中山公园店@(121.424439,31.239487), 上海屋瓦大师普通公寓宁夏路分店@(121.42416,31.240278), 上海宜家城市酒店式公寓（世纪同乐店）@(121.426319,31.237554)]"
8,soho世纪广场,30.0,"[上海浦东假日酒店@(121.535463,31.229042), 通茂大酒店@(121.541951,31.232368), 汉庭酒店(东方路店)@(121.535701,31.227843), 上海红塔豪华精选酒店@(121.534843,31.229668), 上海中油阳光大酒店@(121.535348,31.228335), 上海嘉瑞酒店@(121.54209,31.234512), 上海源深加州酒店@(121.543078,31.23647), 缘澳城市酒店@(121.538895,31.228677), 上海中油阳光大酒店-花店@(121.535471,31.228515), 大都汇商务酒店@(121.535345,31.236781), 鹏臣快捷酒店@(121.535382,31.236135), 上海ok·home可意居时尚公寓@(121.535419,31.232397), 大阿福宾馆@(121.536072,31.234726), 新港大厦-服务式公寓@(121.54031,31.233226), 上海怡荷园青年公寓@(121.535336,31.232417), 嘉年CEO服务式公寓酒店（上海陆家嘴店）@(121.535688,31.230736), 上海中海阳光大酒店@(121.536009,31.228803), 上海舍下公寓竹园小区店@(121.539675,31.233692), 上海兴业家园国际金融家酒店公寓@(121.539224,31.228567), 上海可儿poppy普通公寓东方路分店@(121.534663,31.231314), 上海柚子民宿世纪大道店@(121.539168,31.234555), 上海Anna安娜民宿分店@(121.535346,31.230834), 上海魔都行者驿站香榭丽花园店@(121.542301,31.232933), 上海号思租房普通公寓潍坊路分店@(121.539405,31.235553), 上海爱上租房生活酒店式公寓@(121.53901,31.22873), 上海世纪大道温馨小屋源深路分店@(121.540536,31.236431), 上海优乐家自助服务公寓世纪大道店@(121.539209,31.228573), 上海素入小屋分店@(121.538652,31.236973), 上海陆家嘴商贸圈二室一厅高级公寓分店@(121.536837,31.234889), 上海全家自助式短租公寓(陆家嘴店)@(121.53912,31.228579)]"
9,上海星汇广场,,
