,buildingN,mall_num,mall
0,金融街静安中心,7.0,"[芳汇广场@(121.433728,31.236925), KiNG88购物中心@(121.433494,31.234122), 百联@(121.436949,31.235237), 金采购物中心@(121.434277,31.235227), 桢桢百货店@(121.43572,31.233644), 上海市静安区祯祯百货店@(121.436337,31.233889), 君亭百货@(121.44035,31.232601)]"
1,万通中心,2.0,"[北翟购物中心@(121.340089,31.228849), 华漕川东小百货店@(121.338207,31.227334)]"
2,上海中心,5.0,"[上海国金中心商场@(121.508988,31.241784), 览海国际广场@(121.515415,31.240585), 上海IFC商场@(121.509487,31.242123), 上海环球金融中心商场(世纪大道)@(121.514186,31.240539), 金茂时尚生活中心@(121.511928,31.240964)]"
3,虹桥万科中心,2.0,"[北翟购物中心@(121.340089,31.228849), 华漕川东小百货店@(121.338207,31.227334)]"
4,华鑫天地,1.0,"[OUTLETS@(121.417975,31.175532)]"
5,新宝中心,4.0,"[北上海购物中心@(121.439877,31.372864), 北上海购物中心@(121.439405,31.373762), 上恒北上海生活广场@(121.440175,31.372143), 红林百货@(121.436112,31.373445)]"
6,苏河1号,2.0,"[太平洋百货(不夜城店)@(121.463324,31.251343), 名品商厦@(121.461386,31.253174)]"
7,绿地科创大厦,4.0,"[长城弘基/广场@(121.421783,31.243903), 汇融天地@(121.424418,31.242815), IMAGO我格广场@(121.429659,31.244098), 日用百货@(121.425513,31.240491)]"
8,soho世纪广场,,
9,上海星汇广场,,
10,祥腾财富广场,1.0,"[悦舜959创意生活广场@(121.448744,31.294468)]"
11,北岸长风,1.0,"[长风大悦城@(121.401856,31.228413)]"
12,正大喜马拉雅中心,1.0,"[世纪大道生活广场A区@(121.553132,31.223583)]"
13,盛大天地源创谷,1.0,"[上海传奇商业广场@(121.59145,31.206339)]"
14,智造局,1.0,"[友湾地下商业广场@(121.484616,31.213581)]"
15,虹桥丽宝广场,2.0,"[虹桥天地-购物中心@(121.321652,31.198911), 龙湖虹桥天街购物中心@(121.320207,31.197518)]"
16,天华信息科技园,5.0,"[美罗城@(121.446097,31.199257), 星游城@(121.448921,31.191715), 伊尚汇时尚购物中心@(121.448374,31.197475), 腾飞PLAZA@(121.448824,31.194268), 美罗城-B区@(121.445316,31.198943)]"
17,钱江大厦,,
18,春之声大厦,4.0,"[上海环球港@(121.419145,31.239477), 长城弘基/广场@(121.421783,31.243903), 月星环球港演艺空间@(121.418971,31.239173), 格格屋(月星环球港店)@(121.420281,31.24092)]"
19,SOHO天山广场,9.0,"[汇金百货(娄山关路)@(121.411716,31.217457), 百盛购物中心天山店-A楼@(121.410266,31.21634), 虹桥天都@(121.413841,31.215795), 天山商厦@(121.409171,31.216585), 虹桥天都O2名店街@(121.412659,31.216465), 虹桥南丰城-北区商场@(121.414218,31.214244), 泓鑫时尚广场-B2区@(121.409223,31.217583), 北区商场美食广场@(121.415122,31.213183), 利民百货店@(121.418094,31.215334)]"
20,汇京国际广场,2.0,"[三湘大厦商场@(121.424815,31.200323), 家丰百货店@(121.425712,31.201349)]"
21,绿地汇中心,,
22,现代广场,2.0,"[金光绿庭商场@(121.408049,31.215473), 上海钻美百货经营部@(121.398316,31.215724)]"
23,绿地海外滩中心A幢,2.0,"[海外滩名品汇@(121.479772,31.198776), 吉祥劳防百货@(121.473171,31.200778)]"
24,虹桥天地,,
25,中城国际大厦,2.0,"[全国土特产购物中心@(121.437147,31.201026), 双汇冷鲜肉批零中心no.沪03-027@(121.436951,31.2)]"
26,广发大厦,3.0,"[日月光中心@(121.474915,31.21296), 友湾地下商业广场@(121.484616,31.213581), 金玉兰广场@(121.477269,31.211069)]"
27,华闻国际大厦,1.0,"[家丰百货店@(121.425712,31.201349)]"
28,上置金融大厦,2.0,"[日月光中心@(121.474915,31.21296), 金玉兰广场@(121.477269,31.211069)]"
29,香港名都写字楼,10.0,"[上海老街西口@(121.495352,31.230113), 金豫商厦@(121.498345,31.230537), 豫园百货-天裕楼@(121.497813,31.230998), 豫园百货-天裕北楼@(121.497906,31.231364), 上海城隍庙广场@(121.499979,31.230687), 锦南商场@(121.492485,31.223546), 上海福沁宝大祥@(121.492018,31.225384), 中国工艺馆@(121.497732,31.232408), 光辉百货@(121.499953,31.231307), 胜利百货@(121.500852,31.231503)]"
30,杰地大厦,6.0,"[长城弘基/广场@(121.421783,31.243903), 汇融天地@(121.424418,31.242815), 银宫商厦@(121.427864,31.245926), IMAGO我格广场@(121.429659,31.244098), 家家百货店@(121.428392,31.24904), Z白生活广场@(121.422541,31.246558)]"
