,buildingN,underground_num,underground
0,金融街静安中心,,
1,万通中心,,
2,上海中心,1.0,"[陆家嘴@(121.508824,31.243637)]"
3,虹桥万科中心,,
4,华鑫天地,,
5,新宝中心,,
6,苏河1号,,
7,绿地科创大厦,5.0,"[曹杨路(地铁站)@(121.424181,31.245449), 曹杨路@(121.4241,31.244107), 隆德路@(121.430167,31.236749), 曹杨路@(121.424224,31.244796), 隆德路@(121.430026,31.236733)]"
8,soho世纪广场,1.0,"[上海科技馆@(121.550557,31.225461)]"
9,上海星汇广场,,
10,祥腾财富广场,1.0,"[汶水路@(121.45656,31.298815)]"
11,北岸长风,,
12,正大喜马拉雅中心,,
13,盛大天地源创谷,3.0,"[张江高科@(121.594061,31.207879), 张江地铁站(公交站)@(121.595645,31.206412), 张江高科地铁站@(121.595644,31.206425)]"
14,智造局,,
15,虹桥丽宝广场,,
16,天华信息科技园,3.0,"[漕溪路(地铁站)@(121.444799,31.183104), 漕溪路@(121.444739,31.182978), 龙漕路@(121.45062,31.176283)]"
17,钱江大厦,2.0,"[浦电路@(121.535457,31.22605), 浦电路@(121.538513,31.229007)]"
18,春之声大厦,1.0,"[金沙江路@(121.419507,31.237991)]"
19,SOHO天山广场,1.0,"[娄山关路@(121.410818,31.216958)]"
20,汇京国际广场,2.0,"[虹桥路(地铁站)@(121.427261,31.203719), 虹桥路@(121.428043,31.203176)]"
21,绿地汇中心,2.0,"[云锦路@(121.464914,31.17265), 云锦路@(121.464914,31.17265)]"
22,现代广场,,
23,绿地海外滩中心A幢,,
24,虹桥天地,1.0,"[伊犁路@(121.410671,31.204634)]"
25,中城国际大厦,,
26,广发大厦,1.0,"[打浦桥@(121.475402,31.212073)]"
27,华闻国际大厦,1.0,"[宋园路@(121.418434,31.202693)]"
28,上置金融大厦,1.0,"[打浦桥@(121.475402,31.212073)]"
29,香港名都写字楼,,
30,杰地大厦,3.0,"[曹杨路(地铁站)@(121.424181,31.245449), 曹杨路@(121.4241,31.244107), 曹杨路@(121.424224,31.244796)]"
31,花园坊上海节能环保中心,1.0,"[虹口足球场@(121.485807,31.276632)]"
32,国家会展中心,1.0,"[伊犁路@(121.410671,31.204634)]"
33,海上海,,
34,东亚银行金融大厦,1.0,"[陆家嘴@(121.508824,31.243637)]"
35,上海实业大厦,3.0,"[徐家汇@(121.443173,31.200871), 徐家汇站@(121.444211,31.202406), 徐家汇@(121.442314,31.201202)]"
36,裕安大厦,1.0,"[世纪大道@(121.533437,31.234854)]"
37,太平金融大厦,1.0,"[陆家嘴@(121.508824,31.243637)]"
38,七宝宝龙城市广场,1.0,"[金平路@(121.416547,31.017172)]"
39,新漕河泾国际商务中心,,
40,我格广场,,
41,世纪汇广场,1.0,"[陆家嘴@(121.508824,31.243637)]"
42,日月光集团,,
43,品尊国际中心,1.0,"[岚皋路@(121.428339,31.262583)]"
44,江桥万达广场,1.0,"[金运路@(121.326035,31.247368)]"
45,万科时一区,,
46,长宁88中心,1.0,"[中山公园@(121.423065,31.224175)]"
47,世界广场,2.0,"[商城路@(121.52289,31.236125), 东昌路@(121.521998,31.239079)]"
48,港汇恒隆广场,3.0,"[徐家汇@(121.443173,31.200871), 徐家汇站@(121.444211,31.202406), 徐家汇@(121.442314,31.201202)]"
49,华晔创意园,,
50,中铁中环时代广场,,
51,申能国际大厦,1.0,"[老西门@(121.489797,31.22473)]"
52,盛大天地青春里2.0,,
53,张江微电子港,1.0,"[张江高科@(121.594061,31.207879)]"
54,金领之都,,
55,外滩金融中心,,
56,国际商厦,1.0,"[四川北路@(121.490774,31.257732)]"
57,高阳商务中心,1.0,"[提篮桥@(121.51328,31.259141)]"
58,悦达国际大厦,3.0,"[隆德路@(121.430167,31.236749), 隆德路@(121.430026,31.236733), 武宁路@(121.436675,31.240291)]"
59,莲花大厦,1.0,"[虹梅路@(121.403932,31.166073)]"
60,1788国际中心,1.0,"[静安寺@(121.453901,31.229402)]"
61,海泰国际大厦,1.0,"[四川北路@(121.490774,31.257732)]"
62,呈远大厦,1.0,"[娄山关路@(121.410818,31.216958)]"
63,新天国际大厦,2.0,"[浦电路@(121.535457,31.22605), 浦电路@(121.538513,31.229007)]"
64,新茂大厦,2.0,"[黄陂南路(地铁站)@(121.47984,31.228687), 黄陂南路@(121.479798,31.228753)]"
65,福德商务中心,1.0,"[东宝兴路@(121.486639,31.265746)]"
66,嘉华中心,1.0,"[陕西南路@(121.465323,31.221939)]"
67,虹钦园,,
68,五角丰达,1.0,"[江湾体育场@(121.520633,31.308746)]"
69,花旗集团大厦,1.0,"[陆家嘴@(121.508824,31.243637)]"
70,方正大厦,,
71,宝山万达广场,,
72,岳洋大厦,1.0,"[四平路@(121.50817,31.280778)]"
73,世贸大厦,1.0,"[豫园@(121.4939,31.234006)]"
74,上海陇盛科技大楼,,
75,汇针751创意园,1.0,"[南浦大桥@(121.506359,31.214259)]"
76,诺诚1895创意园,1.0,"[大场镇@(121.422947,31.29971)]"
77,明谷科技园,,
78,浦江高科技园,,
79,光启城,2.0,"[宜山路(地铁站)@(121.433882,31.192846), 宜山路@(121.433806,31.192588)]"
80,曹杨尚城国际,3.0,"[曹杨路(地铁站)@(121.424181,31.245449), 曹杨路@(121.4241,31.244107), 曹杨路@(121.424224,31.244796)]"
81,沃力创业园,,
82,复旦科技园大厦,1.0,"[国权路@(121.516744,31.295351)]"
83,衡安大楼,2.0,"[上海图书馆@(121.450771,31.214439), 衡山路@(121.45316,31.211335)]"
84,宝地广场,1.0,"[大连路@(121.519576,31.263723)]"
85,建滔企业广场,,
86,虹桥世界中心,,
87,800秀创意园区,1.0,"[静安寺@(121.453901,31.229402)]"
88,复城国际,,
89,张江国创中心,,
90,莲谷产业园,,
91,上海合生国际广场,3.0,"[五角场(地铁站)@(121.521182,31.303776), 五角场@(121.521191,31.303805), 江湾体育场@(121.520633,31.308746)]"
92,永银大厦,1.0,"[大世界@(121.485885,31.233128)]"
93,阿里中心,,
94,久合科技园,1.0,"[彭浦新村@(121.455097,31.312943)]"
95,嘉里中心,1.0,"[静安寺@(121.453901,31.229402)]"
96,星联研发楼,1.0,"[漕宝路@(121.440961,31.174604)]"
97,静安设计中心,,
98,帝宝国际大厦,,
99,金虹桥国际中心,1.0,"[娄山关路@(121.410818,31.216958)]"
100,赢华国际广场,,
101,赢嘉广场,,
102,达人湾创智广场,1.0,"[中山北路@(121.465616,31.265275)]"
103,龙湖虹桥天街,,
104,中山万博国际中心,2.0,"[虹桥路(地铁站)@(121.427261,31.203719), 虹桥路@(121.428043,31.203176)]"
105,远中产业园,,
106,绿地中央广场,,
107,海洋大厦,1.0,"[大世界@(121.485885,31.233128)]"
108,统一企业大厦,,
109,上海诚达创意产业园区,1.0,"[漕宝路@(121.440961,31.174604)]"
110,中港汇.浦东,,
111,华旭国际大厦,1.0,"[人民广场@(121.481022,31.238795)]"
112,加禾LOFT创意园,1.0,"[南浦大桥@(121.506359,31.214259)]"
113,金茂大厦,1.0,"[陆家嘴@(121.508824,31.243637)]"
114,南证大厦,,
115,中金国际广场,2.0,"[徐家汇@(121.443173,31.200871), 徐家汇@(121.442314,31.201202)]"
116,前滩世贸中心,,
117,华润时代广场,1.0,"[商城路@(121.52289,31.236125)]"
118,华虹创新,,
119,绿地M-TOWN,,
120,怡富商务广场,,
121,左岸88,,
122,禹洲金桥国际三期,,
123,申汉大厦,2.0,"[大度河路站@(121.399926,31.237647), 大渡河路@(121.401707,31.237535)]"
124,中国人寿金融中心,,
125,星峰企业园,,
126,科汇大厦,1.0,"[漕宝路@(121.440961,31.174604)]"
127,远中科研大楼,1.0,"[漕河泾开发区@(121.404164,31.17622)]"
128,中国煤炭大厦,2.0,"[浦电路@(121.535457,31.22605), 浦电路@(121.538513,31.229007)]"
129,中天大厦,1.0,"[四平路@(121.50817,31.280778)]"
130,创智天地广场三期,1.0,"[江湾体育场@(121.520633,31.308746)]"
131,科技绿洲,,
132,未来资产大厦,1.0,"[陆家嘴@(121.508824,31.243637)]"
133,生命人寿大厦,2.0,"[商城路@(121.52289,31.236125), 东昌路@(121.521998,31.239079)]"
134,淮海中华大厦,3.0,"[豫园@(121.4939,31.234006), 大世界@(121.485885,31.233128), 豫园(地铁站)@(121.494066,31.233517)]"
135,乐凯大厦,2.0,"[商城路@(121.52289,31.236125), 东昌路@(121.521998,31.239079)]"
136,恒基•旭辉中心,,
137,普天科技园,1.0,"[桂林路@(121.424982,31.181001)]"
138,上海开文大厦,,
139,民润大厦,1.0,"[漕河泾开发区@(121.404164,31.17622)]"
140,虹桥绿谷,,
141,越洋国际广场,1.0,"[南京东路@(121.490857,31.243738)]"
142,静安晶品中心,1.0,"[静安寺@(121.453901,31.229402)]"
143,绿洲中环中心,1.0,"[真北路@(121.388887,31.237861)]"
144,中外运大厦,1.0,"[南京东路@(121.490857,31.243738)]"
145,峻岭广场,2.0,"[南京西路@(121.468949,31.234645), 自然博物馆@(121.469279,31.241917)]"
146,歌斐中心,1.0,"[世博会博物馆@(121.488515,31.202606)]"
147,新上海城市广场,2.0,"[豫园@(121.4939,31.234006), 豫园(地铁站)@(121.494066,31.233517)]"
148,中关村虹桥创新中心,,
149,中铁诺德国际中心,,
150,嘉汇广场,1.0,"[上海体育场@(121.450248,31.19218)]"
151,兆丰世贸大厦,2.0,"[江苏路@(121.437716,31.226546), 江苏路@(121.4371,31.226732)]"
152,金融街海伦中心,1.0,"[国际客运中心@(121.504856,31.255835)]"
153,远东大厦,2.0,"[商城路@(121.52289,31.236125), 东昌路@(121.521998,31.239079)]"
154,东方环球企业中心,1.0,"[汶水路@(121.45656,31.298815)]"
155,绿洲广场,4.0,"[曹杨路(地铁站)@(121.424181,31.245449), 曹杨路@(121.4241,31.244107), 曹杨路@(121.424224,31.244796), 金沙江路@(121.419507,31.237991)]"
156,慧创国际,1.0,"[金沙江西路@(121.341691,31.247399)]"
157,绿地汇创国际广场,,
158,长泰国际金融大厦,1.0,"[浦电路@(121.538513,31.229007)]"
159,汇智大厦,,
160,新上海国际大厦,,
161,紫安大厦,1.0,"[静安寺@(121.453901,31.229402)]"
162,鸿祥大厦,1.0,"[人民广场@(121.481022,31.238795)]"
163,华能联合大厦,,
164,金赢108创意广场,1.0,"[西藏北路@(121.47525,31.2694)]"
165,绿地蓝海,,
166,华敏翰尊国际,,
167,西岸创意园区,2.0,"[宜山路(地铁站)@(121.433882,31.192846), 宜山路@(121.433806,31.192588)]"
168,湾谷科技园,1.0,"[淞发路@(121.50714,31.350804)]"
169,五角场万达广场,3.0,"[五角场(地铁站)@(121.521182,31.303776), 五角场@(121.521191,31.303805), 江湾体育场@(121.520633,31.308746)]"
170,8号桥一期,1.0,"[打浦桥@(121.475402,31.212073)]"
171,展想广场,,
172,均瑶国际广场,1.0,"[肇嘉浜路@(121.456463,31.205392)]"
173,港泰广场,2.0,"[人民广场@(121.481022,31.238795), 大世界@(121.485885,31.233128)]"
174,北外环信息产业园,,
175,七建大厦,2.0,"[宜山路(地铁站)@(121.433882,31.192846), 宜山路@(121.433806,31.192588)]"
176,上海绿地中心一期,,
177,徐汇万科中心,1.0,"[上海南站@(121.436696,31.160423)]"
178,莱茵•虹景中心,,
179,耀江国际广场,,
