,buildingN,park_num,park
0,金融街静安中心,1.0,"[康余绿地@(121.437447,31.236049)]"
1,万通中心,,
2,上海中心,2.0,"[上海一圈青年文化主题公园@(121.512527,31.243496), 由隆花园@(121.507964,31.237644)]"
3,虹桥万科中心,,
4,华鑫天地,,
5,新宝中心,,
6,苏河1号,,
7,绿地科创大厦,1.0,"[精彩纷星游乐公园@(121.430096,31.243714)]"
8,soho世纪广场,3.0,"[巧克力梦公园@(121.551451,31.228262), 花木行政区5号地块@(121.550213,31.22987), 世纪公园治安办公室@(121.553491,31.223085)]"
9,上海星汇广场,,
10,祥腾财富广场,1.0,"[新闻晨报林@(121.457351,31.299896)]"
11,北岸长风,5.0,"[长风公园@(121.406081,31.230879), 长风海洋世界@(121.403627,31.230573), 苏州河景观步廊@(121.401822,31.223571), 长风生态商务区-2号滨河绿地@(121.40252,31.225569), 佳雯4D电影@(121.402362,31.231007)]"
12,正大喜马拉雅中心,11.0,"[世纪公园@(121.558668,31.221607), 湖滨观景区@(121.557721,31.2234), 鸟岛@(121.560884,31.223477), 世纪公园镜天湖@(121.556213,31.221537), 春园@(121.555414,31.219611), 秋园@(121.557857,31.218561), AED(世纪公园)@(121.558998,31.2218), 世纪公园云帆桥@(121.55775,31.222681), 世纪公园-观景平台@(121.556101,31.223674), 世纪公园治安办公室@(121.553491,31.223085), 夏园@(121.556801,31.219803)]"
13,盛大天地源创谷,2.0,"[张江艺术公园@(121.590647,31.209888), 张江碧波公园@(121.589522,31.211995)]"
14,智造局,1.0,"[丽园公园@(121.485346,31.213176)]"
15,虹桥丽宝广场,,
16,天华信息科技园,1.0,"[漕溪公园@(121.442401,31.178426)]"
17,钱江大厦,,
18,春之声大厦,1.0,"[源园@(121.413482,31.244585)]"
19,SOHO天山广场,1.0,"[虹桥公园@(121.412054,31.212078)]"
20,汇京国际广场,1.0,"[番禺绿地@(121.433155,31.20217)]"
21,绿地汇中心,,
22,现代广场,,
23,绿地海外滩中心A幢,2.0,"[南园滨江绿地@(121.482045,31.198373), 世博林绿地@(121.483138,31.202435)]"
24,虹桥天地,3.0,"[新虹桥中心公园@(121.41132,31.206134), 虹桥公园@(121.412054,31.212078), 绿映虹桥@(121.412386,31.204624)]"
25,中城国际大厦,3.0,"[光启公园@(121.441046,31.195954), 番禺绿地@(121.433155,31.20217), 乐山绿地@(121.438229,31.202094)]"
26,广发大厦,2.0,"[绍兴公园@(121.469913,31.215625), 上海天诚大酒店-杜鹃厅@(121.477902,31.211075)]"
27,华闻国际大厦,,
28,上置金融大厦,1.0,"[上海天诚大酒店-杜鹃厅@(121.477902,31.211075)]"
29,香港名都写字楼,2.0,"[小桃园街绿地@(121.496435,31.226927), 司马秤@(121.496557,31.226847)]"
30,杰地大厦,1.0,"[精彩纷星游乐公园@(121.430096,31.243714)]"
31,花园坊上海节能环保中心,1.0,"[鲁迅公园@(121.489979,31.277455)]"
32,国家会展中心,3.0,"[新虹桥中心公园@(121.41132,31.206134), 虹桥公园@(121.412054,31.212078), 绿映虹桥@(121.412386,31.204624)]"
33,海上海,,
34,东亚银行金融大厦,4.0,"[滨江公园@(121.504326,31.241141), 陆家嘴中心绿地@(121.512881,31.243693), 上海一圈青年文化主题公园@(121.512527,31.243496), 由隆花园@(121.507964,31.237644)]"
35,上海实业大厦,2.0,"[光启公园@(121.441046,31.195954), Devil Park 恶魔公园@(121.445849,31.198883)]"
36,裕安大厦,1.0,"[潍坊路小游园@(121.528934,31.230207)]"
37,太平金融大厦,3.0,"[陆家嘴中心绿地@(121.512881,31.243693), 上海一圈青年文化主题公园@(121.512527,31.243496), 由隆花园@(121.507964,31.237644)]"
38,七宝宝龙城市广场,1.0,"[银杏公园@(121.417654,31.016918)]"
39,新漕河泾国际商务中心,1.0,"[世纪林@(121.411083,31.165682)]"
40,我格广场,1.0,"[精彩纷星游乐公园@(121.430096,31.243714)]"
41,世纪汇广场,3.0,"[陆家嘴中心绿地@(121.512881,31.243693), 东方明珠公园@(121.506312,31.247338), 上海一圈青年文化主题公园@(121.512527,31.243496)]"
42,日月光集团,,
43,品尊国际中心,,
44,江桥万达广场,,
45,万科时一区,,
46,长宁88中心,1.0,"[中山公园@(121.425511,31.227831)]"
47,世界广场,,
48,港汇恒隆广场,2.0,"[徐家汇公园@(121.448965,31.203757), Devil Park 恶魔公园@(121.445849,31.198883)]"
49,华晔创意园,,
50,中铁中环时代广场,,
51,申能国际大厦,1.0,"[上海新天地太平湖公园@(121.483825,31.22573)]"
52,盛大天地青春里2.0,,
53,张江微电子港,1.0,"[张江艺术公园@(121.590647,31.209888)]"
54,金领之都,,
55,外滩金融中心,2.0,"[古城公园@(121.500454,31.234126), 古城公园百姓健身步道@(121.50177,31.233912)]"
56,国际商厦,4.0,"[四川北路公园@(121.491364,31.26057), 昆山公园@(121.493252,31.254697), 海宁绿地@(121.49184,31.256219), 公园1468@(121.490636,31.259579)]"
57,高阳商务中心,,
58,悦达国际大厦,1.0,"[康余绿地@(121.437447,31.236049)]"
59,莲花大厦,1.0,"[洛克公园@(121.401867,31.166217)]"
