,rentD,square,rentM,floor,roomRate,workstation,buildingN,propertyF,underground,dizhi,describe,id,area,location,latitude,longitude
0,5.6,800.0,13.63,高区,75%,145.0,金融街静安中心,,暂无数据,静安  静安寺  万航渡路800号,金融街静安中心楼盘佳房型方正三面采光 照片手机实拍,46358671,静安, 静安寺 ,31.233687,121.43724
1,4.3,380.0,4.97,中区,65%,69.0,万通中心,33.0,暂无数据,闵行  华漕  申长路与苏虹路交汇处,万通中心 虹桥商务核心区  地下直达虹桥枢纽,46936247,闵行, 华漕 ,31.228429,121.335517
2,21.92,30.0,2,高区,70%,5.0,上海中心,,2号线,浦东  陆家嘴  银城中路501号,上海中心1~20人精装全配服务室办公室，拎包入驻,46632446,浦东, 陆家嘴 ,31.23976,121.512868
3,7.5,400.0,9.13,高区,70%,72.0,虹桥万科中心,,暂无数据,闵行  华漕  申长路988弄,虹桥万科 多家名企入驻 户型方正 高端大气 景观优,46067038,闵行, 华漕 ,31.228429,121.335517
4,4.5,1120.0,15.33,中区,70%,203.0,华鑫天地,,暂无数据,徐汇  徐家汇  田林路200号,徐汇田林路华鑫天地超大平方办公楼可装修随时看,46432853,徐汇, 徐家汇 ,31.174553,121.413744
5,2.7,1000.0,8.21,中区,80%,181.0,新宝中心,,暂无数据,宝山  顾村  宝山区红林路2号,宝山 新宝中心整层 精装修 有隔断 高区 报价可谈,46315782,宝山, 顾村 ,31.374164,121.437239
6,2.99,77.0,7000元/月,中区,80%,14.0,苏河1号,14.8,1号线、3号线、4号线,闸北  火车站  恒丰路638、666号,3面采光 看苏河景精装修带家具 隔断拎 包即可办公,45853413,闸北, 火车站 ,31.253921,121.458135
7,3.3,99.0,9938元/月,高区,70%,18.0,绿地科创大厦,8.0,3号线、4号线、11号线,普陀  曹杨  宁夏路201号,绿地科创面积99 精装带隔断带全套办公家具 免*金,46721221,普陀, 曹杨 ,31.241043,121.42687
8,10.36,258.0,8.13,低区,99%,46.0,soho世纪广场,1.07,4号线、2号线、6号线,浦东  竹园商贸区  向城路288号,竹园商贸区，世纪广场，大气，房型方正，精装有家具，,46375237,浦东, 竹园商贸区 ,31.232369,121.539892
9,3.2,300.0,2.92,高区,70%,54.0,上海星汇广场,,暂无数据,杨浦  新江湾城  淞沪路与殷高东路交汇处,三门路地铁口保辉国际广场17年新楼150到1500,46876578,杨浦, 新江湾城 ,31.333383,121.520648
10,2.4,75.0,5476元/月,高区,70%,13.0,祥腾财富广场,,1号线、7号线,闸北  彭浦  共和新路3088弄，汶水路215号,1号线/汶水路地铁口（单层75平复式精装）家具齐全,46041302,闸北, 彭浦 ,31.297735,121.448109
