,Unnamed: 0,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
5,5,瑅香广场,嘉定-嘉定城区- 双单路云谷路口, 纯写字楼(甲级), 2014 11, , ,3.55元/m²•天,,嘉定,嘉定城区,嘉定 嘉定城区 瑅香广场,31.3894863129,121.259674072
7,7,银历大厦,闸北-火车站- 虹口区河南北路485号, 纯写字楼(甲级), , 0, 12元/m²•月,3.04元/m²•天,,闸北,火车站,闸北 火车站 银历大厦,31.2553215027,121.486152649
8,8,昇PARK创意园,宝山-上海大学- 真大路520号, 纯写字楼(甲级), 2016 10, 5, 9元/m²•月,2.54元/m²•天,,宝山,上海大学,宝山 上海大学 昇PARK创意园,31.3027877808,121.414245605
11,11,良友大厦,浦东-八佰伴- 商城路618号, 纯写字楼(甲级), 1997 1, 28, 24元/m²•月,4.56元/m²•天,18908元/m²,浦东,八佰伴,浦东 八佰伴 良友大厦,31.2360458374,121.524757385
13,13,龙峰大厦,长宁-延安西路- 延安西路1566号, 纯写字楼(甲级), 2004 1, 20, 23元/m²•月,5.27元/m²•天,,长宁,延安西路,长宁 延安西路 龙峰大厦,31.2145252228,121.427154541
16,16,张江国创中心,浦东-张江高科- 浦东新区张江丹桂路899号, 纯写字楼(甲级), 2017 04, 4, 18.8元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 张江国创中心,31.2253074646,121.634056091
17,17,中铁中环时代广场,闸北-大宁绿地- 江场西路299弄, 纯写字楼(甲级), 2012 2, 16, 13.5元/m²•月,3.24元/m²•天,27365元/m²,闸北,大宁绿地,闸北 大宁绿地 中铁中环时代广场,31.3034992218,121.449134827
18,18,上海中电大楼,浦东-八佰伴- 南泉北路1029号, 纯写字楼(甲级), 1997 6, 18, 15元/m²•月,4.06元/m²•天,,浦东,八佰伴,浦东 八佰伴 上海中电大楼,31.234172821,121.522903442
19,19,御上海青橙,"松江-松江- 谷阳北路,近梅家浜路", 纯写字楼(甲级), 2017 12, 25, 4.8元/m²•月,1.57元/m²•天,,松江,松江,松江 松江 御上海青橙,31.0544147491,121.240638733
24,24,中国煤炭大厦,浦东-竹园商贸区- 东方路899号, 酒店写字楼(甲级), 2001 1, 28, 24元/m²•月,5.07元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 中国煤炭大厦,31.2290992737,121.535423279
26,26,徐汇商务大厦,徐汇-万体馆- 文定路199号, 纯写字楼(乙级), 2009 1, 21, 10元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 徐汇商务大厦,31.1917362213,121.438873291
28,28,金牛大厦,浦东-北蔡/塘桥- 峨山路77号, 纯写字楼(乙级), 1997 10, 12, 6元/m²•月,4.26元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 金牛大厦,31.2208786011,121.539245605
29,29,寰启商务园,闵行-浦江- 闵行区江月路1188号, 纯写字楼(甲级), , 0, 6元/m²•月,1.62元/m²•天,,闵行,浦江,闵行 浦江 寰启商务园,31.0935382843,121.42502594
30,30,时亦创新园,闵行-颛桥- 沪光东路88号, 纯写字楼(甲级), 2015 12, 4, ,1.32元/m²•天,,闵行,颛桥,闵行 颛桥 时亦创新园,31.0740127563,121.407485962
32,32,东海商业中心二期,黄浦-人民广场- 延安东路618号, 纯写字楼(甲级), 1997 1, 26, 25元/m²•月,4.56元/m²•天,27000元/m²,黄浦,人民广场,黄浦 人民广场 东海商业中心二期,31.2361907959,121.487030029
34,34,信达大厦,静安-静安寺- 北京西路1399号, 纯写字楼(乙级), 1998 1, 25, 25.2元/m²•月,4.06元/m²•天,,静安,静安寺,静安 静安寺 信达大厦,31.2337551117,121.455032349
35,35,莱茵•虹景中心,闵行-龙柏- 吴中路1439号, 纯写字楼(甲级), 2014 08, 10, 18元/m²•月,4.06元/m²•天,,闵行,龙柏,闵行 龙柏 莱茵•虹景中心,31.1775913239,121.380264282
36,36,立明大厦,徐汇-漕河泾- 桂箐路111号, 纯写字楼(乙级), 2008 10, 15, 6.9元/m²•月,3.55元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 立明大厦,31.1833553314,121.410484314
39,39,怡富商务广场,杨浦-五角场- 黄兴路1725号, 纯写字楼(甲级), 2007 3, 26, 15元/m²•月,3.35元/m²•天,,杨浦,五角场,杨浦 五角场 怡富商务广场,31.2962226868,121.525932312
40,40,时尚谷创意园,松江-松江- 鼎源路618弄, 纯写字楼(甲级), , , ,0.91元/m²•天,10000元/m²,松江,松江,松江 松江 时尚谷创意园,31.0367221832,121.175331116
42,42,伯爵居,卢湾-打浦桥- 瑞金二路411号, 纯写字楼(甲级), , 20, ,5.58元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 伯爵居,31.21301651,121.474136353
44,44,碧云国际,浦东-金桥开发区- 浙桥路278号, 纯写字楼(乙级), , 30, ,2.03元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 碧云国际,31.2581615448,121.607795715
45,45,绿地汇方广场,杨浦-平凉/杨浦外滩- 平凉路1318弄, 纯写字楼(甲级), 2017 12, 6, 5元/m²•月,4.36元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 绿地汇方广场,31.3045101166,121.535713196
46,46,东渡国际嘉庭广场,普陀-长风商务区- 云岭东路391弄, 纯写字楼(甲级), 2017 10, 18, 18元/m²•月,4.06元/m²•天,26000元/m²,普陀,长风商务区,普陀 长风商务区 东渡国际嘉庭广场,31.2275276184,121.394172668
47,47,东方众鑫大厦,静安-南京西路- 南京西路699号, 纯写字楼(甲级), 2003 1, 31, 25元/m²•月,6.59元/m²•天,,静安,南京西路,静安 南京西路 东方众鑫大厦,31.2365608215,121.469810486
48,48,中国人寿保险大厦,黄浦-外滩- 福佑路8号, 纯写字楼(甲级), , 15, 30元/m²•月,6.59元/m²•天,,黄浦,外滩,黄浦 外滩 中国人寿保险大厦,31.2360496521,121.500724792
49,49,中华门大厦,徐汇-万体馆- 宜山路520号, 纯写字楼(乙级), 2000 12, 24, 5元/m²•月,3.04元/m²•天,,徐汇,万体馆,徐汇 万体馆 中华门大厦,31.1876735687,121.431785583
50,50,越界世博园,卢湾-淮海路/新天地- 半淞园路388号, 纯写字楼(甲级), 2016 10, 6, 34元/m²•月,6.49元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 越界世博园,31.2268238068,121.480873108
52,52,鸿海大厦,普陀-真如- 真北路2167号, 纯写字楼(甲级), , 27, 16元/m²•月,3.93元/m²•天,,普陀,真如,普陀 真如 鸿海大厦,31.2593193054,121.397712708
53,53,虹桥协信中心,闵行-华漕- 兴虹路108弄, 纯写字楼(甲级), , 4, 15元/m²•月,4.06元/m²•天,,闵行,华漕,闵行 华漕 虹桥协信中心,31.2090873718,121.321350098
56,56,东华时尚创意园,长宁-中山公园- 延安西路1882号, 纯写字楼(甲级), 2011 06, 15, 18元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 东华时尚创意园,31.2278347015,121.426574707
59,59,铜仁88,静安-南京西路- 静安区南京西路商圈铜仁路88号, 纯写字楼(甲级), 2016 5, 10, 15元/m²•月,5.41元/m²•天,,静安,南京西路,静安 南京西路 铜仁88,31.2344989777,121.46308136
60,60,春申创意园,闵行-春申/老闵行- 梅富路29号, 纯写字楼(甲级), , 5, 8元/m²•月,2.23元/m²•天,,闵行,春申/老闵行,闵行 春申/老闵行 春申创意园,31.1148395538,121.424858093
61,61,上海纺运物流商务中心,徐汇-龙华- 龙吴路410号, 纯写字楼(乙级), , 0, 15元/m²•月,3.45元/m²•天,,徐汇,龙华,徐汇 龙华 上海纺运物流商务中心,31.1650314331,121.458244324
63,63,武宁881号创意园,静安-静安寺- 武定路881号, 纯写字楼(甲级), 2012 2, 6, 17元/m²•月,5.07元/m²•天,,静安,静安寺,静安 静安寺 武宁881号创意园,31.2297477722,121.451797485
