,name,address,type,buil_time,floors,property_fee,rent,rent_more,area,location,address_for_coordinate,latitude,longitude
0,星辰大厦,松江-松江- 沪松公路1221号, 纯写字楼(甲级), , 0, 12元/m²•月,,,松江,松江,松江 松江 星辰大厦,31.0212440491,121.226791382
1,扬子江大厦,虹口-北外滩- 东长治路299弄, 纯写字楼(甲级), 2000 12, 25, ,,,虹口,北外滩,虹口 北外滩 扬子江大厦,31.2545566559,121.500801086
2,上企置业广场,徐汇-漕河泾- 虹梅路1123号, 纯写字楼(乙级), , 3, 12元/m²•月,,,徐汇,漕河泾,徐汇 漕河泾 上企置业广场,31.1658821106,121.409370422
3,外滩22号,黄浦-外滩- 中山东二路22号, 纯写字楼(甲级), 2000 1, 6, 40元/m²•月,,,黄浦,外滩,黄浦 外滩 外滩22号,31.2363853455,121.500480652
4,三林世博创意园,浦东-上南地区- 灵岩南路295号, 纯写字楼(乙级), 2011 1, 6, 20元/m²•月,,,浦东,上南地区,浦东 上南地区 三林世博创意园,31.161901474,121.502853394
5,瑅香广场,嘉定-嘉定城区- 双单路云谷路口, 纯写字楼(甲级), 2014 11, , ,3.55元/m²•天,,嘉定,嘉定城区,嘉定 嘉定城区 瑅香广场,31.3894863129,121.259674072
6,福克斯(银都)商务中心,闵行-莘庄- 春东路508号, 纯写字楼(乙级), , 4, 8元/m²•月,,,闵行,莘庄,闵行 莘庄 福克斯(银都)商务中心,31.1119861603,121.38520813
7,银历大厦,闸北-火车站- 虹口区河南北路485号, 纯写字楼(甲级), , 0, 12元/m²•月,3.04元/m²•天,,闸北,火车站,闸北 火车站 银历大厦,31.2553215027,121.486152649
8,昇PARK创意园,宝山-上海大学- 真大路520号, 纯写字楼(甲级), 2016 10, 5, 9元/m²•月,2.54元/m²•天,,宝山,上海大学,宝山 上海大学 昇PARK创意园,31.3027877808,121.414245605
9,51号商务园,徐汇-万体馆- 龙吴路51号, 纯写字楼(甲级), , 0, 12元/m²•月,,,徐汇,万体馆,徐汇 万体馆 51号商务园,31.1946277618,121.448524475
10,美森公馆,静安-曹家渡- 万航渡路858弄15号, 综合写字楼(甲级), 2012 12, 6, 15元/m²•月,,,静安,曹家渡,静安 曹家渡 美森公馆,31.2347450256,121.435371399
11,良友大厦,浦东-八佰伴- 商城路618号, 纯写字楼(甲级), 1997 1, 28, 24元/m²•月,4.56元/m²•天,18908元/m²,浦东,八佰伴,浦东 八佰伴 良友大厦,31.2360458374,121.524757385
12,上海嘉定工业区,嘉定-嘉定城区- 汇源路200号, 纯写字楼(丙级), 2010 1, 8, 2元/m²•月,,,嘉定,嘉定城区,嘉定 嘉定城区 上海嘉定工业区,31.3894863129,121.259674072
13,龙峰大厦,长宁-延安西路- 延安西路1566号, 纯写字楼(甲级), 2004 1, 20, 23元/m²•月,5.27元/m²•天,,长宁,延安西路,长宁 延安西路 龙峰大厦,31.2145252228,121.427154541
14,移动智地,青浦-青浦- 沪青平公路3938弄, 纯写字楼(甲级), , , ,,,青浦,青浦,青浦 青浦 移动智地,31.1538791656,121.180496216
15,天星城,长宁-中山公园- 凯旋路1669号, 纯写字楼(乙级), 1996 10, 7, 4.3元/m²•月,,,长宁,中山公园,长宁 中山公园 天星城,31.2278347015,121.426574707
16,张江国创中心,浦东-张江高科- 浦东新区张江丹桂路899号, 纯写字楼(甲级), 2017 04, 4, 18.8元/m²•月,4.06元/m²•天,,浦东,张江高科,浦东 张江高科 张江国创中心,31.2253074646,121.634056091
17,中铁中环时代广场,闸北-大宁绿地- 江场西路299弄, 纯写字楼(甲级), 2012 2, 16, 13.5元/m²•月,3.24元/m²•天,27365元/m²,闸北,大宁绿地,闸北 大宁绿地 中铁中环时代广场,31.3034992218,121.449134827
18,上海中电大楼,浦东-八佰伴- 南泉北路1029号, 纯写字楼(甲级), 1997 6, 18, 15元/m²•月,4.06元/m²•天,,浦东,八佰伴,浦东 八佰伴 上海中电大楼,31.234172821,121.522903442
19,御上海青橙,"松江-松江- 谷阳北路,近梅家浜路", 纯写字楼(甲级), 2017 12, 25, 4.8元/m²•月,1.57元/m²•天,,松江,松江,松江 松江 御上海青橙,31.0544147491,121.240638733
20,兰溪路,普陀-曹杨- 兰溪路200弄, 纯写字楼(甲级), 1980 06, 6, ,,,普陀,曹杨,普陀 曹杨 兰溪路,31.2449645996,121.412712097
21,佳信都市花园,长宁-延安西路- 延安西路1030弄, 纯写字楼(甲级), 1997 1, 8, 1.8元/m²•月,,,长宁,延安西路,长宁 延安西路 佳信都市花园,31.2176742554,121.438117981
22,国展388,浦东-上南地区- 国展路388号, 纯写字楼(甲级), , 3, 26元/m²•月,,,浦东,上南地区,浦东 上南地区 国展388,31.1841430664,121.482757568
23,金沙江商务广场,普陀-真如- 金沙江路2009弄, 纯写字楼(甲级), 2009 3, 13, 11元/m²•月,null,,普陀,真如,普陀 真如 金沙江商务广场,31.2373275757,121.405990601
24,中国煤炭大厦,浦东-竹园商贸区- 东方路899号, 酒店写字楼(甲级), 2001 1, 28, 24元/m²•月,5.07元/m²•天,,浦东,竹园商贸区,浦东 竹园商贸区 中国煤炭大厦,31.2290992737,121.535423279
25,御翠坊,浦东-世纪公园- 花木路1883弄, 纯写字楼(甲级), 2004 12, 3, 8元/m²•月,,,浦东,世纪公园,浦东 世纪公园 御翠坊,31.2208366394,121.570755005
26,徐汇商务大厦,徐汇-万体馆- 文定路199号, 纯写字楼(乙级), 2009 1, 21, 10元/m²•月,3.55元/m²•天,,徐汇,万体馆,徐汇 万体馆 徐汇商务大厦,31.1917362213,121.438873291
27,锦银创意园,嘉定-丰庄- 曹安公路1901号, 纯写字楼(乙级), , 4, ,,,嘉定,丰庄,嘉定 丰庄 锦银创意园,31.258234024,121.367530823
28,金牛大厦,浦东-北蔡/塘桥- 峨山路77号, 纯写字楼(乙级), 1997 10, 12, 6元/m²•月,4.26元/m²•天,,浦东,北蔡/塘桥,浦东 北蔡/塘桥 金牛大厦,31.2208786011,121.539245605
29,寰启商务园,闵行-浦江- 闵行区江月路1188号, 纯写字楼(甲级), , 0, 6元/m²•月,1.62元/m²•天,,闵行,浦江,闵行 浦江 寰启商务园,31.0935382843,121.42502594
30,时亦创新园,闵行-颛桥- 沪光东路88号, 纯写字楼(甲级), 2015 12, 4, ,1.32元/m²•天,,闵行,颛桥,闵行 颛桥 时亦创新园,31.0740127563,121.407485962
31,福克斯（都庄）商务大厦,闵行-颛桥- 都庄路4226号, 纯写字楼(甲级), 2005 10, 5, 8元/m²•月,,,闵行,颛桥,闵行 颛桥 福克斯（都庄）商务大厦,31.0740127563,121.407485962
32,东海商业中心二期,黄浦-人民广场- 延安东路618号, 纯写字楼(甲级), 1997 1, 26, 25元/m²•月,4.56元/m²•天,27000元/m²,黄浦,人民广场,黄浦 人民广场 东海商业中心二期,31.2361907959,121.487030029
33,唐公馆,浦东-川沙- 春源路唐安路路口交汇处, 纯写字楼(甲级), , , ,,,浦东,川沙,浦东 川沙 唐公馆,31.2201957703,121.653945923
34,信达大厦,静安-静安寺- 北京西路1399号, 纯写字楼(乙级), 1998 1, 25, 25.2元/m²•月,4.06元/m²•天,,静安,静安寺,静安 静安寺 信达大厦,31.2337551117,121.455032349
35,莱茵•虹景中心,闵行-龙柏- 吴中路1439号, 纯写字楼(甲级), 2014 08, 10, 18元/m²•月,4.06元/m²•天,,闵行,龙柏,闵行 龙柏 莱茵•虹景中心,31.1775913239,121.380264282
36,立明大厦,徐汇-漕河泾- 桂箐路111号, 纯写字楼(乙级), 2008 10, 15, 6.9元/m²•月,3.55元/m²•天,,徐汇,漕河泾,徐汇 漕河泾 立明大厦,31.1833553314,121.410484314
37,新城金郡,嘉定-嘉定城区- 嘉定临泽路89弄, 纯写字楼(甲级), 2011 10, 0, ,null,,嘉定,嘉定城区,嘉定 嘉定城区 新城金郡,31.3508777618,121.246780396
38,新平公寓,静安-静安寺- 延平路81弄, 纯写字楼(乙级), 2004 04, 28, ,null,,静安,静安寺,静安 静安寺 新平公寓,31.2344589233,121.447769165
39,怡富商务广场,杨浦-五角场- 黄兴路1725号, 纯写字楼(甲级), 2007 3, 26, 15元/m²•月,3.35元/m²•天,,杨浦,五角场,杨浦 五角场 怡富商务广场,31.2962226868,121.525932312
40,时尚谷创意园,松江-松江- 鼎源路618弄, 纯写字楼(甲级), , , ,0.91元/m²•天,10000元/m²,松江,松江,松江 松江 时尚谷创意园,31.0367221832,121.175331116
41,银龙大厦,长宁-中山公园- 延安西路1358号, 商业综合体楼(甲级), 2002 8, 8, 5元/m²•月,,,长宁,中山公园,长宁 中山公园 银龙大厦,31.2278347015,121.426574707
42,伯爵居,卢湾-打浦桥- 瑞金二路411号, 纯写字楼(甲级), , 20, ,5.58元/m²•天,,卢湾,打浦桥,卢湾 打浦桥 伯爵居,31.21301651,121.474136353
43,两岸新天地,上海周边-昆山- 花桥东城大道312国道交叉口, 纯写字楼(甲级), , 24, ,,,上海周边,昆山,上海周边 昆山 两岸新天地,31.3254585266,121.07270813
44,碧云国际,浦东-金桥开发区- 浙桥路278号, 纯写字楼(乙级), , 30, ,2.03元/m²•天,,浦东,金桥开发区,浦东 金桥开发区 碧云国际,31.2581615448,121.607795715
45,绿地汇方广场,杨浦-平凉/杨浦外滩- 平凉路1318弄, 纯写字楼(甲级), 2017 12, 6, 5元/m²•月,4.36元/m²•天,,杨浦,平凉/杨浦外滩,杨浦 平凉/杨浦外滩 绿地汇方广场,31.3045101166,121.535713196
46,东渡国际嘉庭广场,普陀-长风商务区- 云岭东路391弄, 纯写字楼(甲级), 2017 10, 18, 18元/m²•月,4.06元/m²•天,26000元/m²,普陀,长风商务区,普陀 长风商务区 东渡国际嘉庭广场,31.2275276184,121.394172668
47,东方众鑫大厦,静安-南京西路- 南京西路699号, 纯写字楼(甲级), 2003 1, 31, 25元/m²•月,6.59元/m²•天,,静安,南京西路,静安 南京西路 东方众鑫大厦,31.2365608215,121.469810486
48,中国人寿保险大厦,黄浦-外滩- 福佑路8号, 纯写字楼(甲级), , 15, 30元/m²•月,6.59元/m²•天,,黄浦,外滩,黄浦 外滩 中国人寿保险大厦,31.2360496521,121.500724792
49,中华门大厦,徐汇-万体馆- 宜山路520号, 纯写字楼(乙级), 2000 12, 24, 5元/m²•月,3.04元/m²•天,,徐汇,万体馆,徐汇 万体馆 中华门大厦,31.1876735687,121.431785583
50,越界世博园,卢湾-淮海路/新天地- 半淞园路388号, 纯写字楼(甲级), 2016 10, 6, 34元/m²•月,6.49元/m²•天,,卢湾,淮海路/新天地,卢湾 淮海路/新天地 越界世博园,31.2268238068,121.480873108
51,太阳广场,长宁-虹桥开发区- 上海长宁区仙霞路88号, 综合写字楼(丙级), 1995 1, 5, 21元/m²•月,null,,长宁,虹桥开发区,长宁 虹桥开发区 太阳广场,31.20195961,121.403488159
52,鸿海大厦,普陀-真如- 真北路2167号, 纯写字楼(甲级), , 27, 16元/m²•月,3.93元/m²•天,,普陀,真如,普陀 真如 鸿海大厦,31.2593193054,121.397712708
53,虹桥协信中心,闵行-华漕- 兴虹路108弄, 纯写字楼(甲级), , 4, 15元/m²•月,4.06元/m²•天,,闵行,华漕,闵行 华漕 虹桥协信中心,31.2090873718,121.321350098
54,上海明珠创意园,虹口-曲阳- 汶水东路291号, 纯写字楼(乙级), 2011 2, 6, 15元/m²•月,,,虹口,曲阳,虹口 曲阳 上海明珠创意园,31.2986049652,121.491706848
55,绿地滨江国际中心,徐汇-龙华- 龙华路1775号, 纯写字楼(甲级), 2011 , 30, 27元/m²•月,,,徐汇,龙华,徐汇 龙华 绿地滨江国际中心,31.1691513062,121.446235657
56,东华时尚创意园,长宁-中山公园- 延安西路1882号, 纯写字楼(甲级), 2011 06, 15, 18元/m²•月,4.06元/m²•天,,长宁,中山公园,长宁 中山公园 东华时尚创意园,31.2278347015,121.426574707
