,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
0,银历大厦,3,,,3.9,39.0,4.0,11.0,10.0,52.0,2.0,7,18.0,,3.3
1,张江国创中心,3,1.0,4.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,4,,94000.0,
2,中铁中环时代广场,3,6.0,16.0,4.27,7.0,1.0,0.0,4.0,10.0,0.0,5,16.0,214227.0,4.2
3,中国煤炭大厦,3,17.0,28.0,6.4,46.0,2.0,1.0,1.0,28.0,2.0,7,28.0,60000.0,3.0
4,徐汇商务大厦,2,9.0,21.0,4.51,53.0,3.0,4.0,7.0,23.0,3.0,7,21.0,36000.0,3.0
5,寰启商务园,3,,,2.36,3.0,0.0,0.0,0.0,4.0,0.0,3,9.0,,
6,信达大厦,2,20.0,25.0,4.5,72.0,25.0,0.0,4.0,35.0,1.0,6,25.0,38000.0,3.0
7,立明大厦,2,10.0,15.0,4.2,3.0,1.0,0.0,0.0,0.0,0.0,3,,,
8,绿地汇方广场,3,1.0,6.0,4.92,6.0,0.0,2.0,6.0,15.0,1.0,6,,,
9,东方众鑫大厦,3,15.0,31.0,8.38,116.0,22.0,13.0,10.0,34.0,3.0,7,31.0,32579.0,3.6
10,中华门大厦,2,18.0,24.0,3.32,28.0,9.0,4.0,4.0,16.0,1.0,7,24.0,24000.0,3.0
11,鸿海大厦,3,,27.0,4.18,11.0,0.0,2.0,7.0,13.0,0.0,5,27.0,35000.0,3.5
12,虹桥协信中心,3,,4.0,4.64,23.0,2.0,0.0,0.0,4.0,0.0,4,9.0,225622.0,4.3
13,春申创意园,3,,5.0,2.2,0.0,1.0,1.0,0.0,7.0,0.0,4,5.0,25000.0,2.8
14,城投控股大厦,3,7.0,21.0,8.17,106.0,4.0,6.0,0.0,58.0,0.0,5,21.0,61346.0,3.2
15,慧创国际,3,10.0,10.0,2.86,10.0,0.0,0.0,3.0,8.0,0.0,4,10.0,71400.0,3.5
16,静安创展中心,3,11.0,11.0,5.55,76.0,4.0,2.0,5.0,38.0,2.0,7,,30883.0,5.5
17,泰德科技园,3,2.0,11.0,2.49,3.0,1.0,0.0,0.0,13.0,1.0,5,11.0,33000.0,5.0
18,汇鑫国际大厦,3,8.0,22.0,5.95,58.0,5.0,3.0,7.0,19.0,2.0,7,22.0,50000.0,3.9
19,佳预信息科技大厦,3,7.0,10.0,4.07,12.0,0.0,0.0,1.0,5.0,0.0,4,10.0,77682.0,
20,凯滨国际大厦,3,2.0,18.0,9.8,26.0,5.0,2.0,4.0,17.0,0.0,6,10.0,48869.6,4.2
21,上海国际汽车城大厦,3,,,1.77,5.0,0.0,0.0,0.0,1.0,0.0,3,,32125.0,2.7
22,宝华国际广场,3,7.0,23.0,5.98,1.0,3.0,3.0,4.0,9.0,0.0,6,23.0,58000.0,3.5
23,新虹桥中心大厦,3,20.0,36.0,6.31,19.0,0.0,5.0,10.0,14.0,0.0,5,36.0,86300.0,3.6
24,科海大楼,3,2.0,11.0,10.1,9.0,0.0,0.0,0.0,4.0,0.0,3,,38840.0,3.0
25,耀江国际广场,3,8.0,28.0,4.34,96.0,13.0,11.0,11.0,74.0,1.0,7,28.0,137000.0,3.6
26,证大立方大厦,3,11.0,23.0,7.74,16.0,1.0,5.0,18.0,6.0,2.0,7,21.0,40000.0,3.6
27,绿亮科创园,2,2.0,5.0,2.6,3.0,0.0,1.0,1.0,7.0,0.0,5,,,
28,上海传奇商业广场,3,1.0,3.0,7.46,1.0,0.0,0.0,0.0,0.0,0.0,2,,,
29,凯科国际大厦,3,9.0,28.0,6.58,3.0,1.0,0.0,1.0,9.0,1.0,6,28.0,40445.0,4.0
30,上海世茂大厦,3,0.0,27.0,9.78,13.0,2.0,6.0,10.0,18.0,1.0,7,,,
31,金博尚品,3,11.0,12.0,4.73,2.0,0.0,0.0,20.0,11.0,0.0,4,,,
32,智苑文创空间,3,,,3.8,19.0,0.0,0.0,3.0,14.0,0.0,4,5.0,,3.6
33,上海华电大厦,3,1.0,26.0,7.33,1.0,0.0,0.0,0.0,0.0,0.0,2,23.0,43035.24,4.5
34,华融大厦,3,113.0,31.0,7.05,63.0,6.0,13.0,5.0,0.0,1.0,6,31.0,20025.0,3.6
35,悦达国际大厦,3,13.0,26.0,4.52,55.0,5.0,8.0,3.0,21.0,3.0,7,26.0,24159.0,3.0
36,瑞金大厦,2,20.0,27.0,7.18,189.0,19.0,5.0,12.0,39.0,1.0,7,27.0,46959.0,3.7
37,D1国际创意空间,3,17.0,7.0,5.73,29.0,4.0,1.0,2.0,12.0,2.0,7,,,
38,优房商务中心,2,,5.0,2.35,7.0,0.0,0.0,2.0,5.0,1.0,5,4.0,,3.5
39,燕兴大厦,1,16.0,24.0,3.5,56.0,6.0,3.0,3.0,18.0,1.0,7,29.0,33248.0,
40,众城大厦,2,22.0,25.0,4.55,55.0,9.0,3.0,4.0,0.0,1.0,6,25.0,36000.0,3.5
41,大来大楼,3,,,8.9,92.0,3.0,6.0,5.0,34.0,0.0,6,8.0,7369.0,3.5
42,和平国际商务港,3,6.0,15.0,3.92,23.0,0.0,2.0,1.0,7.0,0.0,5,,79186.0,
43,文景楼,3,,,2.8,4.0,1.0,2.0,1.0,2.0,0.0,6,8.0,,3.0
