,name,link,rent,floors,surface,floor_height,elevator,companys
0,豫园露香园路,https://www.haozu.com/sh_xzl_34668/,10,,,,,
1,上海银行大厦,https://www.haozu.com/sh_xzl_3240/,14.94,46,109233,4,16,交通银行、上海银行、国泰君安证券股份有限公司、美国艾威亚洲服务有限责任公司、博世（中国）投资有限公司
2,绿地嘉领国际,https://www.haozu.com/sh_xzl_18363/,1.5,28,60000,3.3,6,
3,莘庄智慧园,https://www.haozu.com/sh_xzl_11592/,5,12,35473,4,3,
4,歆翱商务楼,https://www.haozu.com/sh_xzl_1665/,2.2,2,3000,4,1,
5,歆翱商务大厦,https://www.haozu.com/sh_xzl_1637/,2.7,12,16000,4,3,
6,禾谷文创四达园,https://www.haozu.com/sh_xzl_39257/,1.73,,,,,
7,复客中国-滨江众创基地,https://www.haozu.com/sh_xzl_5044/,4.95,,,3.5,2,
8,中国梦谷（吴泾）,https://www.haozu.com/sh_xzl_18857/,1.65,4,80000,4,,
9,金元大厦,https://www.haozu.com/sh_xzl_4775/,1.83,15,17436,3.5,2,
10,长峰中心,https://www.haozu.com/sh_xzl_2013/,5.3,34,45400,3.6,5,\t企业名称：杜邦纤维，所属行业：贸易/消费/制造/营运、企业名称：西南航空平安保险，所属行业：会计/金融/银行/保险、企业名称：上海诚一服装有限公司，所属行业：贸易/消费/制造/营运、企业名称：新加坡FE环球电子私人有限公司上海代表处，所属行业：计算机/互联网/通信/电子、企业名称：上海昕闳讯电子科技有限公司，所属行业：计算机/互联网/通信/电子
11,金豫路251号,https://www.haozu.com/sh_xzl_36523/,2.4,,,,,
12,虹桥南丰城,https://www.haozu.com/sh_xzl_2475/,6.73,36,143471,3.6,9,企业名称：香港特力，所属行业：贸易/消费/制造/营运、企业名称：联合利华，所属行业：贸易/消费/制造/营运、企业名称：日本兄弟，所属行业：贸易/消费/制造/营运、企业名称：卡西欧（广州）商贸有限公司，所属行业：贸易/消费/制造/营运、企业名称：波兰共和国驻上海总领事馆，所属行业：政府/非赢利机构/其他
13,康健商务广场,https://www.haozu.com/sh_xzl_2781/,3.6,16,95000,,5,
14,上海时尚园,https://www.haozu.com/sh_xzl_2263/,4.95,3,12000,3,1,企业名称：中国服装设计师协会上海代表处，所属行业：政府/非赢利机构/其他、企业名称：亚洲时尚联合会中国委员会秘书处，所属行业：政府/非赢利机构/其他、企业名称：上海毛戈平形象设计艺术学校，所属行业：专业服务/教育/培训
15,汤米创意园,https://www.haozu.com/sh_xzl_35111/,4.63,,,,,
16,松港大厦,https://www.haozu.com/sh_xzl_3065/,1.45,10,,2.7,2,上海松港投资管理有限公司
17,欣广大厦,https://www.haozu.com/sh_xzl_11349/,4.2,11,,,3,平安集团
18,武夷商务中心,https://www.haozu.com/sh_xzl_5009/,4,,9366,,,
19,银海大楼,https://www.haozu.com/sh_xzl_3229/,5.1,12,18000,3.6,4,艾利甲乙纺织、德昌电机、佑昌照明、同和软件、美方实业
20,吴泾科技园,https://www.haozu.com/sh_xzl_19303/,1.65,2,80000,4.5（工业用房）,,
21,都园8号创意园,https://www.haozu.com/sh_xzl_19827/,1.74,8,30000,3,2,
22,上服创意园,https://www.haozu.com/sh_xzl_10644/,5.27,7,5068,3.8,,
23,胶州路322号,https://www.haozu.com/sh_xzl_27774/,8,,,,,
24,同安苑,https://www.haozu.com/sh_xzl_40498/,2.1,,,,,
25,汇智30,https://www.haozu.com/sh_xzl_10638/,6.33,6,13588.88,,2,
26,圣天地商务大厦,https://www.haozu.com/sh_xzl_5038/,5.07,25,11200,5.5,3,运鹏地产、伟岑国际贸易有限公司、格睿自动化系统有限公司、上海好来喜糖业烟酒有限公司
27,美联大厦,https://www.haozu.com/sh_xzl_11335/,4.5,13,17892,,,上海艺世鎏文化传播有限公司、上海威霖服饰有限公司、爱思洁爱姆洗碗机(上海)贸易有限公司等
28,银统大厦,https://www.haozu.com/sh_xzl_1245/,6.42,24,40000,3.5,3,
29,腾飞浦汇大厦,https://www.haozu.com/sh_xzl_1295/,10.01,24,42000,3.2,8,金盛人寿保险、NewBalance、阿姆斯壮
30,智慧湾科创园,https://www.haozu.com/sh_xzl_12805/,2.86,,42000,3.6,,
31,和平·莱茵广场,https://www.haozu.com/sh_xzl_20720/,5,18,90000,,7,
32,众原企业中心,https://www.haozu.com/sh_xzl_29973/,2.07,,,,,
33,莲花大厦,https://www.haozu.com/sh_xzl_3364/,4.11,18,18000,3.6,4,电子科技、上海凤凰国际书城、权峰机电国际贸易(上海)有限公司、上海健多乐贸易有限公司
34,南京西路2000弄,https://www.haozu.com/sh_xzl_35507/,13.4,,,,,
35,明凯大厦,https://www.haozu.com/sh_xzl_4598/,3.53,13,18000,3.35,10,
36,汤臣商务中心大厦,https://www.haozu.com/sh_xzl_5077/,4.08,25,56000,3.9,7,上海汤臣金属有限公司、上海昊泰国际贸易有限公司、德国贝克曼化学公司、上海联展信息科技有限公司、上海宏润文化传播有限公司
37,三银基金产业园,https://www.haozu.com/sh_xzl_32170/,3.12,,,,,
38,新纪元国际广场,https://www.haozu.com/sh_xzl_1533/,3.65,16,21643,5.8,4,企业名称：新纪元国际广场，所属行业：计算机/互联网/通信/电子、企业名称：上海住宅科技投资股份有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海华强国际物流有限公司，所属行业：物流/运输、企业名称：五木国际贸易有限公司，所属行业：物流/运输、企业名称：上海朴树设计，所属行业：房地产/建筑
39,胶州路273弄,https://www.haozu.com/sh_xzl_24074/,6.33,,,,,
40,中设广场,https://www.haozu.com/sh_xzl_29076/,2.81,23,68061,4.5,6,
41,老码头4库,https://www.haozu.com/sh_xzl_32383/,7.3,,,,,
42,上海环球金融中心,https://www.haozu.com/sh_xzl_1439/,21.46,101,381600,4.2,44,
43,万科2049创意汇,https://www.haozu.com/sh_xzl_12246/,4.5,4,22464,3.1,2,
44,酷窝,https://www.haozu.com/sh_xzl_19785/,2,12,76441,3.7,3,
45,嘉善老市,https://www.haozu.com/sh_xzl_27942/,7.2,,,,,
46,新发现梦园,https://www.haozu.com/sh_xzl_28767/,6.6,,,,,
47,礼和洋行,https://www.haozu.com/sh_xzl_24297/,8.3,4,6076,3.0,,
48,弘基幸福湾,https://www.haozu.com/sh_xzl_17713/,3,12,50000,3.5,,宝钢工程技术有限公司
49,智慧七立方二期,https://www.haozu.com/sh_xzl_24009/,2.97,7,24600,,,千锋互联科技、美国WAFERGEN公司
50,上海理工大学国家大学科技园,https://www.haozu.com/sh_xzl_13322/,2.22,,,,,
51,云部落大厦,https://www.haozu.com/sh_xzl_19186/,2.53,14,,3.5,,
52,金沙商务广场,https://www.haozu.com/sh_xzl_2656/,3,13,14300,3.6,2,飞虹俱乐部、上海凯聪电子科技有限公司、统帅装饰
53,赤峰路35号,https://www.haozu.com/sh_xzl_36589/,3.3,,,,,
54,悍石湘拓教育园,https://www.haozu.com/sh_xzl_19837/,2.05,,,3,2,
55,上海钢铁材料加工有限公司,https://www.haozu.com/sh_xzl_18426/,2.2,,,,,
56,兆丰环球大厦,https://www.haozu.com/sh_xzl_3394/,6.15,28,67666.08,3.6,7,美国FMC、三星电子、斗山机械、天华建筑设计
57,诺诚创意园,https://www.haozu.com/sh_xzl_23497/,3.2,5,4025.74,3.2-4.5,1,
58,虹口科创金融产业园,https://www.haozu.com/sh_xzl_36159/,5.5,,,,,
59,商城商务楼,https://www.haozu.com/sh_xzl_12130/,2.8,,,,,
60,金融科创产业园,https://www.haozu.com/sh_xzl_29876/,1.96,,,,,
61,华滋奔腾大厦,https://www.haozu.com/sh_xzl_4135/,2.98,24,101000,3.5,6,
62,交运巴士大厦,https://www.haozu.com/sh_xzl_4415/,5.1,6,,4,2,
63,素锦年华,https://www.haozu.com/sh_xzl_11345/,5.9,8,,3.6,2,
64,世界广场,https://www.haozu.com/sh_xzl_17850/,6.88,38,63599,2.55,12,
65,兰生大厦,https://www.haozu.com/sh_xzl_1682/,9,32,59414,3.5,7,企业名称：耐克，所属行业：贸易/消费/制造/营运、企业名称：葛兰素，所属行业：贸易/消费/制造/营运、企业名称：史克，所属行业：贸易/消费/制造/营运、企业名称：凡德汽车销售有限公司，所属行业：贸易/消费/制造/营运、企业名称：格兰苏史克投资中国有限公司，所属行业：会计/金融/银行/保险
66,富荟商业广场,https://www.haozu.com/sh_xzl_17584/,7.8,,,2.9,,
67,隆视广场,https://www.haozu.com/sh_xzl_11503/,7.5,,,,,
68,树屏路580号,https://www.haozu.com/sh_xzl_32651/,1.5,,,,,
69,华山路1520弄121号,https://www.haozu.com/sh_xzl_40844/,8.69,,,,,
70,133世界广场,https://www.haozu.com/sh_xzl_25258/,3.41,,,,,
71,汇阳广场,https://www.haozu.com/sh_xzl_3826/,5.13,21,101155.3,,2,
72,亿达北虹桥创业城,https://www.haozu.com/sh_xzl_2629/,4.4,,47697,,2,
73,新漕河泾国际商务中心,https://www.haozu.com/sh_xzl_1669/,6.16,36,188294,4,12,
74,Young Square1780洋广场,https://www.haozu.com/sh_xzl_29066/,3.95,,,,,
75,旭辉世纪广场,https://www.haozu.com/sh_xzl_2308/,3.85,13,13000,3.7,4,企业名称：上海乔申服饰有限公司，所属行业：贸易/消费/制造/营运、企业名称：鼎日网络科技（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海羿昂国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海龙方建筑装饰工程有限公司，所属行业：房地产/建筑
