,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,store,mall,park,hotel,underground,park1500
0,娄山关巴黎春天,https://www.haozu.com/sh_xzl_27835/,11,20 - 200m²,长宁  天山路762号6楼  ,7.6,4.88,天山路,,,,,,,36.0,11.0,36.0,14.0,1.0,9.0
1,翠立商务,https://www.haozu.com/sh_xzl_35443/,16,45 - 245m²,松江  九亭沪亭北路22号  ,2.24,2.24,九亭,,,,,,,8.0,0.0,8.0,7.0,1.0,1.0
2,金领之都,https://www.haozu.com/sh_xzl_1294/,111,8 - 11000m²,浦东  金桥新金桥路1888号  ,3.53,3.46,金桥,11.0,300000m²,3.9,2,中国烟草(贸易/消费/制造/营运)、中国雅芳(贸易/消费/制造/营运)、美国迪堡(会计/金融/银行/保险)、中烟集团(贸易/消费/制造/营运)、通用电气(贸易/消费/制造/营运),300000,7.0,1.0,7.0,1.0,0.0,1.0
3,嘉定宝龙城市广场,https://www.haozu.com/sh_xzl_29281/,1,107.2m²,嘉定  新城阿克苏路1099号  ,2.6,2.07,新城,,,,,,,6.0,2.0,6.0,4.0,0.0,1.0
4,金地威新·嘉定智造工园,https://www.haozu.com/sh_xzl_35285/,81,450 - 3000m²,嘉定  外冈恒永路167号  ,1.1,1.59,外冈,,,,,,,0.0,0.0,,0.0,0.0,1.0
5,中环协信天地,https://www.haozu.com/sh_xzl_17932/,24,168 - 2000m²,闸北  汶水路江场路1228弄  ,4.36,4.33,汶水路,23.0,268127m²,4.2,,,268127,8.0,0.0,8.0,0.0,0.0,1.0
6,中冶祥腾城市广场,https://www.haozu.com/sh_xzl_17384/,17,45 - 130m²,嘉定  南翔真南路4500号  ,3.23,2.0,南翔,,180000m²,3.5,5,,180000,5.0,4.0,5.0,5.0,2.0,7.0
7,金融街静安中心,https://www.haozu.com/sh_xzl_19902/,14,168.3 - 813.9m²,静安  其他万航渡路800号  ,6.94,8.36,其他,,76632m²,,,,76632,32.0,6.0,32.0,16.0,1.0,4.0
8,金虹桥国际中心,https://www.haozu.com/sh_xzl_1648/,4,265.2 - 2809.3m²,长宁  仙霞新村娄山关路533号  ,9.63,7.31,仙霞新村,50.0,263380m²,3.8,12,,263380,36.0,15.0,36.0,11.0,1.0,11.0
9,越商宝华中心,https://www.haozu.com/sh_xzl_29534/,39,140 - 336.3m²,静安  静安寺万航渡路395号  ,8.96,9.34,静安寺,,,,,,,31.0,2.0,31.0,11.0,0.0,7.0
10,武夷商务中心,https://www.haozu.com/sh_xzl_5009/,2,30.4 - 32m²,长宁  中山公园武夷路351号  ,4.0,6.92,中山公园,,9366m²,,,,9366,41.0,6.0,41.0,16.0,0.0,8.0
11,新神州商厦,https://www.haozu.com/sh_xzl_35332/,1,300m²,虹口  曲阳路曲阳路666号  ,3.3,3.2,曲阳路,,,,,,,20.0,1.0,20.0,9.0,0.0,2.0
12,上海明珠创意产业园,https://www.haozu.com/sh_xzl_2674/,2,137 - 197m²,虹口  大柏树汶水东路141弄2434号  ,4.1,3.68,大柏树,5.0,10000m²,4.8,2,,10000,32.0,0.0,32.0,15.0,1.0,0.0
13,御北路395号,https://www.haozu.com/sh_xzl_29980/,1,400m²,浦东  御桥御北路395号  ,3.5,3.53,御桥,,,,,,,2.0,0.0,2.0,0.0,0.0,2.0
14,中环百联,https://www.haozu.com/sh_xzl_23350/,1,1884m²,普陀  长征真光路1288号  ,3.2,5.04,长征,,,,,,,18.0,6.0,18.0,4.0,0.0,6.0
15,宝虹中心,https://www.haozu.com/sh_xzl_4440/,1,242.9m²,闵行  七宝中春路7755号（中春路地...  ,3.2,16.23,七宝,9.0,21093m²,3.7,3,丞宏光电科技(上海)有限公司、上海科技/上海柏麟信息、上海丰润装饰工程有限公司、上海依珀商贸有限公司、上海顶品建材有限公司,21093,2.0,0.0,2.0,3.0,1.0,2.0
16,博银国际大厦,https://www.haozu.com/sh_xzl_2785/,28,104 - 698m²,卢湾  淮海中路淮海中路398号  ,9.56,9.28,淮海中路,27.0,30000m²,3.5,4,企业名称：趋势科技（中国）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：易声通信技术发展有限公司，所属行业：计算机/互联网/通信/电子、企业名称：香港思坦咨询公司上海代表处，所属行业：专业服务/教育/培训、企业名称：香港徕卡仪器有限公司上海代表处，所属行业：政府/非赢利机构/其他,30000,33.0,6.0,33.0,20.0,1.0,23.0
17,新城市中心广场,https://www.haozu.com/sh_xzl_3127/,15,82.1 - 1544m²,普陀  真如铜川路70号  ,4.8,4.38,真如,28.0,21760m²,3,5,,21760,16.0,2.0,16.0,6.0,1.0,5.0
18,宝华国际广场,https://www.haozu.com/sh_xzl_1082/,13,114 - 510.4m²,闸北  大宁路广中西路555号  ,5.95,4.91,大宁路,23.0,58000m²,3.5,5,,58000,10.0,2.0,10.0,2.0,0.0,5.0
19,海盈金圣商务楼,https://www.haozu.com/sh_xzl_3838/,2,40 - 115m²,长宁  天山路威宁路333号  ,4.5,4.88,天山路,6.0,11000m²,3.4,2,企业名称：上海洪剑智能科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海敬润园林建设工程有限公司，所属行业：房地产/建筑、企业名称：上海宝晟科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：江苏浩霆进出口有限公司，所属行业：贸易/消费/制造/营运、企业名称：华泰证券股份有限公司上海威宁，所属行业：会计/金融/银行/保险,11000,13.0,0.0,13.0,9.0,1.0,6.0
20,银珠商厦,https://www.haozu.com/sh_xzl_1363/,1,310m²,浦东  竹园商贸区浦东大道2330号  ,2.2,11.33,竹园商贸区,,23000m²,3.5,3,上海银珠商厦有限公司,23000,7.0,2.0,,5.0,0.0,1.0
