,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
0,宝华国际广场,静安-彭浦-广中西路555号,写字楼,甲级,25,集中式中央空调,5,1,1000,30,电信、联通、长城、铁通、移动、卫通、有线通,320,上海安荣物业管理有限公司,食堂、银行、ATM、便利店、商务中心、会议室,企业名称：上海乐兔网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：宝华集团，所属行业：房地产/建筑、企业名称：真旅网，所属行业：计算机/互联网/通信/电子、企业名称：新华资本，所属行业：会计/金融/银行/保险、企业名称：绍兴集团，所属行业：专业服务/教育/培训,食堂、银行、ATM、便利店、商务中心、会议室,23,2011年3月,58602,1475,3,320,3,上海全存置业有限公司,8,True,True,115m²、120m²、130m²、140m²、350m²,玻璃幕墙,5.07
1,世博宝钢大厦,浦东-世博-浦东世博大道1859号,写字楼,甲级,35,,,,,,,,仲量联行,,,,24,2011年07月,,,,,,宝钢集团(上海)置业有限公司,,True,True,,,6.08
2,复地四季广场,杨浦-控江-长阳路1568号,商业综合体,甲级,10,集中式中央空调,1,1,800,415,,,复地物业管理公司,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,6,2010年3月,58000,3800,4.5,,3,复地集团,5.5,True,True,110m²,大理石,3.89
6,大虹桥国际中心,闵行-莘庄-黎安路999号,写字楼,甲级,28,,,,,,,,中建信控股集团,,,,28,2016年12月,,,,,,中建信控股集团,,True,True,,,4.36
7,汾阳路3号,徐汇-衡山路-汾阳路3号,商业综合体,乙级,28,集中式中央空调,2,1,1800,15,电信、移动,65,申大物业管理公司,ATM、餐饮、便利店,企业名称：上海国际交流有限公司，所属行业：专业服务/教育/培训、企业名称：基础教育杂志编辑部，所属行业：广告/媒体、企业名称：上海润坤商贸发展有限公司分公司，所属行业：贸易/消费/制造/营运、企业名称：教育宾馆，所属行业：专业服务/教育/培训、企业名称：上海市高等师范三结合培训办公室，所属行业：专业服务/教育/培训,ATM、餐饮、便利店,7,2011年5月,10781,750,4.8,65,3,上海华东师范大学教育发展基金会,33,True,True,150m²、513m²、750m²,大理石,7.1
9,城开国际大厦,徐汇-徐家汇-虹桥路355号,写字楼,甲级,28,集中式中央空调,6,2,1500,,电信、联通、铁通、移动、卫通,200,上海金茂英泰物业管理有限公司,银行、ATM、商务中心、会议室,企业名称：中国银行徐汇支行，所属行业：会计/金融/银行/保险、企业名称：强生(中国)投资有限公司，所属行业：政府/非赢利机构/其他、企业名称：强生（上海）医疗器材有限公司，所属行业：贸易/消费/制造/营运、企业名称：爱克发医疗系统设备（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：悦游计算机软件开发（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：利士包装，所属行业：广告/媒体、企业名称：三星中国投资有限公司上海分公公司，所属行业：计算机/互联网/通信/电子,银行、ATM、商务中心、会议室,15,2007年11月,45430,2499,3.5,200,2.7,上海城开（集团）有限公司,20,True,True,1m²、103m²、001m²、000m²,玻璃幕墙,6.3
10,英雄大厦,徐汇-万体馆-斜土路2669号,写字楼,丙级,4,,2,1,300,20,电信、联通、铁通、移动、卫通,26,,银行、ATM,企业名称：拓得机电设备安装有限公司，所属行业：专业服务/教育/培训、企业名称：上海敏诚善律师事务所，所属行业：专业服务/教育/培训、企业名称：上海春擎机电设备发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海乾年服饰有限公司，所属行业：贸易/消费/制造/营运、企业名称：锦益光电，所属行业：贸易/消费/制造/营运,银行、ATM,26,1997年12月,28000,1000,3.2,26,2.5,上海英雄集团,4,False,True,,玻璃幕墙,3.04
11,同济逸仙大厦,杨浦-五角场-逸仙路25号,写字楼,甲级,22,集中式中央空调,5,1,1000,45,电信、联通、移动,389,上海同科物业管理有限公司,银行、ATM、餐饮、便利店、商务中心、会议室,企业名称：上海鼎盛钢贸有限公司，所属行业：房地产/建筑,银行、ATM、餐饮、便利店、商务中心、会议室,18,2011年12月,54000,1600,3.9,389,2.9,上海同文置业有限公司,8,False,True,70m²、100m²、200m²、250m²、300m²、500m²,玻璃幕墙,4.06
13,恒达广场,静安-静安寺-长寿路285号,商业综合体,乙级,20,集中式中央空调,3,1,300,30,电信,130,上海恒达物业管理有限公司,银行、ATM、餐饮、商务中心、会议室、会展中心,企业名称：上海棉纺织印染联合有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海开天建设集团有限公司上海分公司，所属行业：房地产/建筑、企业名称：上海机械设备成套(集团)公司，所属行业：贸易/消费/制造/营运、企业名称：上海恒达科技发展有限股份有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海金铖科技发展有限公司，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、商务中心、会议室、会展中心,24,2002年12月,28000,1017,3.54,130,3.4,上海恒达房地产开放有限公司,8,True,True,120m²、130m²、170m²,玻璃幕墙,2.92
15,永新广场,黄浦-南京东路-上海黄浦区南京西路128号,写字楼,甲级,35,集中式中央空调,8,1,1000,,电信、联通、移动,70,,银行、ATM、餐饮,企业名称：电通，所属行业：计算机/互联网/通信/电子、企业名称：柯达，所属行业：贸易/消费/制造/营运、企业名称：欧姆龙，所属行业：贸易/消费/制造/营运、企业名称：高露洁棕榈（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：巍珂-庆余户外广告公司，所属行业：广告/媒体、企业名称：美国美亚保险上海分公司，所属行业：会计/金融/银行/保险,银行、ATM、餐饮,22,1996年5月,25000,1450,3.6,70,2.4,上海永泰房地产开发有限公司,6,True,True,,,6.08
