,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
0,娄山关巴黎春天,https://www.haozu.com/sh_xzl_27835/,11,20 - 200m²,长宁  天山路762号6楼  ,7.6,4.88,天山路,,,,,,,长宁  天山路762号6楼  ,31.217622757,121.408470154
1,翠立商务,https://www.haozu.com/sh_xzl_35443/,16,45 - 245m²,松江  九亭沪亭北路22号  ,2.24,2.24,九亭,,,,,,,松江  九亭沪亭北路22号  ,31.1456832886,121.327125549
2,金领之都,https://www.haozu.com/sh_xzl_1294/,111,8 - 11000m²,浦东  金桥新金桥路1888号  ,3.53,3.46,金桥,11.0,300000m²,3.9,2,中国烟草(贸易/消费/制造/营运)、中国雅芳(贸易/消费/制造/营运)、美国迪堡(会计/金融/银行/保险)、中烟集团(贸易/消费/制造/营运)、通用电气(贸易/消费/制造/营运),300000,浦东  金桥新金桥路1888号  ,31.2653083801,121.629508972
3,嘉定宝龙城市广场,https://www.haozu.com/sh_xzl_29281/,1,107.2m²,嘉定  新城阿克苏路1099号  ,2.6,2.07,新城,,,,,,,嘉定  新城阿克苏路1099号  ,31.3512477875,121.267463684
4,金地威新·嘉定智造工园,https://www.haozu.com/sh_xzl_35285/,81,450 - 3000m²,嘉定  外冈恒永路167号  ,1.1,1.59,外冈,,,,,,,嘉定  外冈恒永路167号  ,31.3498401642,121.191291809
5,中环协信天地,https://www.haozu.com/sh_xzl_17932/,24,168 - 2000m²,闸北  汶水路江场路1228弄  ,4.36,4.33,汶水路,23.0,268127m²,4.2,,,268127,闸北  汶水路江场路1228弄  ,31.3049755096,121.465126038
6,中冶祥腾城市广场,https://www.haozu.com/sh_xzl_17384/,17,45 - 130m²,嘉定  南翔真南路4500号  ,3.23,2.0,南翔,,180000m²,3.5,5,,180000,嘉定  南翔真南路4500号  ,31.3021030426,121.328643799
7,金融街静安中心,https://www.haozu.com/sh_xzl_19902/,14,168.3 - 813.9m²,静安  其他万航渡路800号  ,6.94,8.36,其他,,76632m²,,,,76632,静安  其他万航渡路800号  ,31.2312431335,121.437614441
8,金虹桥国际中心,https://www.haozu.com/sh_xzl_1648/,4,265.2 - 2809.3m²,长宁  仙霞新村娄山关路533号  ,9.63,7.31,仙霞新村,50.0,263380m²,3.8,12,,263380,长宁  仙霞新村娄山关路533号  ,31.2148704529,121.409866333
9,越商宝华中心,https://www.haozu.com/sh_xzl_29534/,39,140 - 336.3m²,静安  静安寺万航渡路395号  ,8.96,9.34,静安寺,,,,,,,静安  静安寺万航渡路395号  ,31.2316913605,121.443275452
10,武夷商务中心,https://www.haozu.com/sh_xzl_5009/,2,30.4 - 32m²,长宁  中山公园武夷路351号  ,4.0,6.92,中山公园,,9366m²,,,,9366,长宁  中山公园武夷路351号  ,31.2199039459,121.430084229
11,新神州商厦,https://www.haozu.com/sh_xzl_35332/,1,300m²,虹口  曲阳路曲阳路666号  ,3.3,3.2,曲阳路,,,,,,,虹口  曲阳路曲阳路666号  ,31.2907848358,121.498466492
12,上海明珠创意产业园,https://www.haozu.com/sh_xzl_2674/,2,137 - 197m²,虹口  大柏树汶水东路141弄2434号  ,4.1,3.68,大柏树,5.0,10000m²,4.8,2,,10000,虹口  大柏树汶水东路141弄2434号  ,31.2990703583,121.491630554
13,御北路395号,https://www.haozu.com/sh_xzl_29980/,1,400m²,浦东  御桥御北路395号  ,3.5,3.53,御桥,,,,,,,浦东  御桥御北路395号  ,31.164232254,121.564476013
14,中环百联,https://www.haozu.com/sh_xzl_23350/,1,1884m²,普陀  长征真光路1288号  ,3.2,5.04,长征,,,,,,,普陀  长征真光路1288号  ,31.2508449554,121.389892578
15,宝虹中心,https://www.haozu.com/sh_xzl_4440/,1,242.9m²,闵行  七宝中春路7755号（中春路地...  ,3.2,16.23,七宝,9.0,21093m²,3.7,3,丞宏光电科技(上海)有限公司、上海科技/上海柏麟信息、上海丰润装饰工程有限公司、上海依珀商贸有限公司、上海顶品建材有限公司,21093,闵行  七宝中春路7755号（中春路地...  ,31.1527824402,121.348129272
16,博银国际大厦,https://www.haozu.com/sh_xzl_2785/,28,104 - 698m²,卢湾  淮海中路淮海中路398号  ,9.56,9.28,淮海中路,27.0,30000m²,3.5,4,企业名称：趋势科技（中国）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：易声通信技术发展有限公司，所属行业：计算机/互联网/通信/电子、企业名称：香港思坦咨询公司上海代表处，所属行业：专业服务/教育/培训、企业名称：香港徕卡仪器有限公司上海代表处，所属行业：政府/非赢利机构/其他,30000,卢湾  淮海中路淮海中路398号  ,31.2283325195,121.478492737
