web-scraper-order,web-scraper-start-url,link,link-href,info,nname,sources,surfaceRange,address,averageRent,averageBCRent,nameBC
"1529309317-412","https://www.haozu.com/sh/zuxiezilou/o94/","娄山关巴黎春天","https://www.haozu.com/sh_xzl_27835/","","娄山关巴黎春天","11个","20 - 200m²","地址：
                    [长宁] - 
                    [天山路]
                    762号6楼  
                    [地图]","7.6元/m²⋅天","4.88元/m²⋅天","天山路均价（商圈）"
"1529311789-798","https://www.haozu.com/sh/zuxiezilou/o75/","翠立商务","https://www.haozu.com/sh_xzl_35443/","","翠立商务","16个","45 - 245m²","地址：
                    [松江] - 
                    [九亭]
                    沪亭北路22号  
                    [地图]","2.24元/m²⋅天","2.24元/m²⋅天","九亭均价（商圈）"
"1529318497-2123","https://www.haozu.com/sh/zuxiezilou/o7/","金领之都","https://www.haozu.com/sh_xzl_1294/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    11层\n                \n                                        \n                    建筑面积：\n                    300000m²\n                \n                                                    \n                    标准层高：\n                    3.9米\n                \n                                        \n                    客梯数：\n                    2个(三菱)\n                \n                                        \n                    开发商：\n                    上海金陵置业有限公司\n                \n                                        \n                    物业公司：\n                    上海金陵物业\n                \n                                        \n                     已入驻企业：\n                    中国烟草(贸易/消费/制造/营运)、 中国雅芳(贸易/消费/制造/营运)、 美国迪堡(会计/金融/银行/保险)、 中烟集团(贸易/消费/制造/营运)、 通用电气(贸易/消费/制造/营运)\n                \n                    \n                    \n                金领之都”是由上海金陵股份有限公司倾力打造的集办公、研发、商务配套和企业总部于一体的多功能全方位的大型综合性服务园区。 园区位于金海路以南，新金桥路以北，曹家沟以东，属金桥出口加工区金桥板块。外加西侧的陆家嘴金融贸易区，北侧的外高桥保税区以及南侧的张江高科技园区的板块纵横支援，使得“金领之都”倍添生机。园区有班车直达地铁。\n                展开""}]","金领之都","111个","8 - 11000m²","地址：
                    [浦东] - 
                    [金桥]
                    新金桥路1888号  
                    [地图]","3.53元/m²⋅天","3.46元/m²⋅天","金桥均价（商圈）"
"1529318820-2195","https://www.haozu.com/sh/zuxiezilou/o3/","嘉定宝龙城市广场","https://www.haozu.com/sh_xzl_29281/","[{""info"":""写字楼信息\n        \n                                                                                        \n                    开发商：\n                    上海宝龙康骏房地产开发有限公司""}]","嘉定宝龙城市广场","1个","107.2m²","地址：
                    [嘉定] - 
                    [新城]
                    阿克苏路1099号   
                    [地图]","2.6元/m²⋅天","2.07元/m²⋅天","新城均价（商圈）"
"1529312607-1104","https://www.haozu.com/sh/zuxiezilou/o60/","金地威新·嘉定智造工园","https://www.haozu.com/sh_xzl_35285/","","金地威新·嘉定智造工园","81个","450 - 3000m²","地址：
                    [嘉定] - 
                    [外冈]
                    恒永路167号  
                    [地图]","1.1元/m²⋅天","1.59元/m²⋅天","外冈均价（商圈）"
"1529318008-1934","https://www.haozu.com/sh/zuxiezilou/o17/","中环协信天地","https://www.haozu.com/sh_xzl_17932/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    23层\n                \n                                        \n                    建筑面积：\n                    268127m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    4.2米\n                \n                                                    \n                    开发商：\n                    重庆协信远达商业投资发展有限公司\n                \n                                        \n                    物业公司：\n                    高力国际\n                \n                                \n                    \n                中环协信天地由1栋17层精品办公楼、2栋23层精装修5A甲级写字楼、3栋独栋办公楼组成，项目距轨交1号线汶水路站1000多米。\n\n中环协信天地规划为“一心一带两区”，其中“一心”为中心广场，提供休闲生态的公共活动空间；“一带”为下沉式中心“溪谷”，连接各个功能区，打造开放式廊道体验感；“两区”即为商业功能区和商务功能区，商业功能区主要由购物中心、餐饮、休闲娱乐等业态， 商务功能区由甲级写字楼与独栋办公产品组成。\n                展开""}]","中环协信天地","24个","168 - 2000m²","地址：
                    [闸北] - 
                    [汶水路]
                    江场路1228弄  
                    [地图]","4.36元/m²⋅天","4.33元/m²⋅天","汶水路均价（商圈）"
"1529318739-2165","https://www.haozu.com/sh/zuxiezilou/o5/","中冶祥腾城市广场","https://www.haozu.com/sh_xzl_17384/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    180000m²\n                \n                                        \n                    得房率：\n                    75%\n                \n                                        \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    5个(三菱)\n                \n                                        \n                    开发商：\n                    上海中冶祥佳投资有限公司\n                \n                                        \n                    物业公司：\n                    上海安亦物业管理有限公司\n                \n                                \n                    \n                中冶祥腾城市广场是一个集商业、办公和高档居住于一体的城市综合体，总建筑面积约20万平方米，由世界500强企业中冶集团和上海祥腾投资有限公司共同投资兴建。    \n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]""}]","中冶祥腾城市广场","17个","45 - 130m²","地址：
                    [嘉定] - 
                    [南翔]
                    真南路4500号  
                    [地图]","3.23元/m²⋅天","2.00元/m²⋅天","南翔均价（商圈）"
"1529312214-957","https://www.haozu.com/sh/zuxiezilou/o67/","金融街静安中心","https://www.haozu.com/sh_xzl_19902/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    76632m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                                                \n                    开发商：\n                    上海静盛房地产开发有限公司\n                \n                                        \n                    物业公司：\n                    金融街第一太平戴维斯物业管理有限公司上海分公司\n                \n                                \n                    \n                金融街静安中心由金融街控股股份有限公司投资建设，位于上海市静安区万航渡路（近康定路），项目毗邻静安寺，南京西路，中山公园三大商圈，是静安区较少的综合体项目之一。\n                展开""}]","金融街静安中心","14个","168.3 - 813.9m²","地址：
                    [静安] - 
                    [其他]
                    万航渡路800号  
                    [地图]","6.94元/m²⋅天","8.36元/m²⋅天","其他均价（商圈）"
"1529313803-1435","https://www.haozu.com/sh/zuxiezilou/o43/","金虹桥国际中心","https://www.haozu.com/sh_xzl_1648/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    50层\n                \n                                        \n                    建筑面积：\n                    263380m²\n                \n                                                    \n                    标准层高：\n                    3.8米\n                \n                                        \n                    客梯数：\n                    12个(三菱)\n                \n                                        \n                    开发商：\n                    上海城投置地有限公司\n                \n                                        \n                    物业公司：\n                    第一太平戴维斯\n                \n                                \n                    \n                甲级办公楼(地上30层、地下4层、高度144米)，裙楼是1个内街式、开放型的商业中心（地下2层、地上4层、高度24米）。项目位于茅台路以南，娄山关路以西，规划中紫云西路以北，占地面积3.55万平方米，总建筑面积26万平方米。其中地上建筑面积14万平方米，地下建筑面积12万平方米。建成后可提供商务办公11万平方米，商业设施7万平方米，配套设施8万平方米\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]\n                    \n                            \n                            \n                \n                                                                        \n                                \n                                    \n                                                                    \n                            \n                                                    \n                                \n                                    \n                                    正门""}]","金虹桥国际中心","4个","265.2 - 2809.3m²","地址：
                    [长宁] - 
                    [仙霞新村]
                    娄山关路533号  
                    [地图]","9.63元/m²⋅天","7.31元/m²⋅天","仙霞新村均价（商圈）"
"1529313099-1241","https://www.haozu.com/sh/zuxiezilou/o53/","越商宝华中心","https://www.haozu.com/sh_xzl_29534/","","越商宝华中心","39个","140 - 336.3m²","地址：
                    [静安] - 
                    [静安寺]
                    万航渡路395号  
                    [地图]","8.96元/m²⋅天","9.34元/m²⋅天","静安寺均价（商圈）"
"1529312331-1001","https://www.haozu.com/sh/zuxiezilou/o65/","武夷商务中心","https://www.haozu.com/sh_xzl_5009/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    9366m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                                                \n                    开发商：\n                    新长宁集团\n                \n                                        \n                    物业公司：\n                    上海古华房地产开发经营有限公司\n                \n                                \n                    \n                武夷大楼地处长宁区武夷路，与友联大楼相邻，建造于上世纪90年代初期，交通便利，周边配套成熟完善，有餐饮、超市、医院、学校、银行、健身娱乐设施、能够充分满足您一站式购物需求。\n                展开""}]","武夷商务中心","2个","30.4 - 32m²","地址：
                    [长宁] - 
                    [中山公园]
                    武夷路351号  
                    [地图]","4元/m²⋅天","6.92元/m²⋅天","中山公园均价（商圈）"
"1529316044-1751","https://www.haozu.com/sh/zuxiezilou/o27/","新神州商厦","https://www.haozu.com/sh_xzl_35332/","","新神州商厦","1个","300m²","地址：
                    [虹口] - 
                    [曲阳路]
                    曲阳路666号  
                    [地图]","3.3元/m²⋅天","3.20元/m²⋅天","曲阳路均价（商圈）"
"1529314403-1589","https://www.haozu.com/sh/zuxiezilou/o35/","上海明珠创意产业园","https://www.haozu.com/sh_xzl_2674/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    5层\n                \n                                        \n                    建筑面积：\n                    10000m²\n                \n                                        \n                    得房率：\n                    75%\n                \n                                        \n                    标准层高：\n                    4.8米\n                \n                                        \n                    客梯数：\n                    2个\n                \n                                        \n                    开发商：\n                    上海科房物业管理有限公司\n                \n                                        \n                    物业公司：\n                    上海科房物业管理有限公司\n                \n                                \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]""}]","上海明珠创意产业园","2个","137 - 197m²","地址：
                    [虹口] - 
                    [大柏树]
                    汶水东路141弄24-34号  
                    [地图]","4.1元/m²⋅天","3.68元/m²⋅天","大柏树均价（商圈）"
"1529317169-1827","https://www.haozu.com/sh/zuxiezilou/o23/","御北路395号","https://www.haozu.com/sh_xzl_29980/","","御北路395号","1个","400m²","地址：
                    [浦东] - 
                    [御桥]
                    御北路395号  
                    [地图]","3.5元/m²⋅天","3.53元/m²⋅天","御桥均价（商圈）"
"1529317186-1829","https://www.haozu.com/sh/zuxiezilou/o23/","中环百联","https://www.haozu.com/sh_xzl_23350/","","中环百联","1个","1884m²","地址：
                    [普陀] - 
                    [长征]
                    真光路1288号  
                    [地图]","3.2元/m²⋅天","5.04元/m²⋅天","长征均价（商圈）"
"1529312013-879","https://www.haozu.com/sh/zuxiezilou/o71/","宝虹中心","https://www.haozu.com/sh_xzl_4440/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    9层\n                \n                                        \n                    建筑面积：\n                    21093m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    3.7米\n                \n                                        \n                    客梯数：\n                    3个(三菱)\n                \n                                        \n                    开发商：\n                    上海七宝工业有限公司\n                \n                                        \n                    物业公司：\n                    上海上房物业管理有限公司\n                \n                                        \n                     已入驻企业：\n                    丞宏光电科技(上海)有限公司、上海科技/上海柏麟信息、上海丰润装饰工程有限公司、上海依珀商贸有限公司、上海顶品建材有限公司\n                \n                    \n                    \n                宝虹中心位于七宝商务核心区，就区位而言可谓得天独厚：紧邻轨交9号线中春路站，虹桥交通枢纽近在咫尺，15分钟直达古北高尚生活区，虹桥CBD、漕河泾高科技园区、莘庄工业区和徐家汇商圈环伺左右，高新产业、航空物流行业及生活住区集中，将为企业用户提供诸多便利。\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]""}]","宝虹中心","1个","242.9m²","地址：
                    [闵行] - 
                    [七宝]
                    中春路7755号（中春路地...  
                    [地图]","3.2元/m²⋅天","16.23元/m²⋅天","七宝均价（商圈）"
"1529314302-1550","https://www.haozu.com/sh/zuxiezilou/o37/","博银国际大厦","https://www.haozu.com/sh_xzl_2785/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    27层\n                \n                                        \n                    建筑面积：\n                    30000m²\n                \n                                                    \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    4个(三菱)\n                \n                                        \n                    开发商：\n                    中国海外集团\n                \n                                        \n                    物业公司：\n                    中海物业集团有限公司\n                \n                                        \n                     已入驻企业：\n                    企业名称：趋势科技（中国）有限公司，所属行业：计算机/互联网/通信/电子、 企业名称：易声通信技术发展有限公司，所属行业：计算机/互联网/通信/电子、 企业名称：香港思坦咨询公司上海代表处，所属行业：专业服务/教育/培训、 企业名称：香港徕卡仪器有限公司上海代表处，所属行业：政府/非赢利机构/其他\n                \n                    \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]\n                    \n                                    被收录到【知名物业】专题中 [查看专题]""}]","博银国际大厦","28个","104 - 698m²","地址：
                    [卢湾] - 
                    [淮海中路]
                    淮海中路398号  
                    [地图]","9.56元/m²⋅天","9.28元/m²⋅天","淮海中路均价（商圈）"
